team2,year,team1,round,seed1,score1,seed2,score2,score_diff,seed_diff,team1_sos,team1_osrs,team1_dsrs,team1_srs,team2_sos,team2_osrs,team2_dsrs,team2_srs
Texas Tech,2019,Virginia,National Championship,1,85,3,77,8,-2,10.15,5.08,20.38,25.46,9.53,5.95,16.84,22.79
Texas Tech,2019,Michigan State,Final Four,2,51,3,61,-10,-1,12.34,12.94,11.99,24.93,9.53,5.95,16.84,22.79
Auburn,2019,Virginia,Final Four,1,63,4,62,1,-3,10.15,5.08,20.38,25.46,10.92,13.12,7.72,20.84
Purdue,2019,Virginia,Elite Eight,1,80,3,75,5,-2,10.15,5.08,20.38,25.46,11.99,12.29,9.11,21.4
Texas Tech,2019,Gonzaga,Elite Eight,1,69,3,75,-6,-2,5.01,18.57,9.22,27.79,9.53,5.95,16.84,22.79
Michigan State,2019,Duke,Elite Eight,1,67,2,68,-1,-1,11.98,17.48,9.41,26.9,12.34,12.94,11.99,24.93
Kentucky,2019,Auburn,Elite Eight,5,77,2,71,6,3,10.92,13.12,7.72,20.84,10.29,8.31,13.12,21.43
Oregon,2019,Virginia,Sweet 16,1,53,12,49,4,-11,10.15,5.08,20.38,25.46,6.13,0.68,13.27,13.95
Auburn,2019,North Carolina,Sweet 16,1,80,5,97,-17,-4,11.35,19.81,4.12,23.94,10.92,13.12,7.72,20.84
Florida State,2019,Gonzaga,Sweet 16,1,72,4,58,14,-3,5.01,18.57,9.22,27.79,10.26,8.69,9.31,17.99
Virginia Tech,2019,Duke,Sweet 16,1,75,4,73,2,-3,11.98,17.48,9.41,26.9,7.79,6.5,12.79,19.28
Tennessee,2019,Purdue,Sweet 16,3,99,2,94,5,1,11.99,12.29,9.11,21.4,10.16,14.69,6.86,21.55
Kentucky,2019,Houston,Sweet 16,3,58,2,62,-4,1,4.61,6.31,12.6,18.91,10.29,8.31,13.12,21.43
Michigan,2019,Texas Tech,Sweet 16,3,63,2,44,19,1,9.53,5.95,16.84,22.79,10.55,4.23,17.6,21.82
Michigan State,2019,LSU,Sweet 16,3,63,2,80,-17,1,9.16,13.87,2.63,16.5,12.34,12.94,11.99,24.93
Florida,2019,Michigan,Second Round,2,64,10,49,15,-8,10.55,4.23,17.6,21.82,11.22,0.81,14.61,15.42
Oklahoma,2019,Virginia,Second Round,1,63,9,51,12,-8,10.15,5.08,20.38,25.46,12.21,6.9,8.4,15.3
Washington,2019,North Carolina,Second Round,1,81,9,59,22,-8,11.35,19.81,4.12,23.94,7.01,1.22,10.79,12.01
Baylor,2019,Gonzaga,Second Round,1,83,9,71,12,-8,5.01,18.57,9.22,27.79,9.26,5.23,8.15,13.38
Central Florida,2019,Duke,Second Round,1,77,9,76,1,-8,11.98,17.48,9.41,26.9,5.58,3.01,10.36,13.37
Liberty,2019,Virginia Tech,Second Round,4,67,12,58,9,-8,7.79,6.5,12.79,19.28,-3.88,-3.23,8.5,5.27
Villanova,2019,Purdue,Second Round,3,87,6,61,26,-3,11.99,12.29,9.11,21.4,7.97,5.02,9.31,14.33
Tennessee,2019,Iowa,Second Round,10,77,2,83,-6,8,9.84,12.59,1.67,14.27,10.16,14.69,6.86,21.55
Kansas,2019,Auburn,Second Round,5,89,4,75,14,1,10.92,13.12,7.72,20.84,12.79,10.88,7.47,18.35
Kentucky,2019,Wofford,Second Round,7,56,2,62,-6,5,0.8,7.67,6.26,13.92,10.29,8.31,13.12,21.43
Michigan State,2019,Minnesota,Second Round,10,50,2,70,-20,8,11.27,5.5,7.02,12.52,12.34,12.94,11.99,24.93
Oregon,2019,UC Irvine,Second Round,13,73,12,54,19,1,-2.3,-0.3,6.0,5.7,6.13,0.68,13.27,13.95
Ohio State,2019,Houston,Second Round,3,74,11,59,15,-8,4.61,6.31,12.6,18.91,11.0,2.84,11.04,13.89
Buffalo,2019,Texas Tech,Second Round,3,78,6,58,20,-3,9.53,5.95,16.84,22.79,2.62,14.35,1.22,15.56
Florida State,2019,Murray St.,Second Round,12,62,4,90,-28,8,-3.11,6.13,2.83,8.96,10.26,8.69,9.31,17.99
Maryland,2019,LSU,Second Round,3,69,6,67,2,-3,9.16,13.87,2.63,16.5,10.09,5.58,10.43,16.01
Montana,2019,Michigan,First Round,2,74,15,55,19,-13,10.55,4.23,17.6,21.82,-5.05,0.45,1.05,1.5
Liberty,2019,Mississippi State,First Round,5,76,12,80,-4,-7,9.07,10.03,5.93,15.96,-3.88,-3.23,8.5,5.27
Bradley,2019,Michigan State,First Round,2,76,15,65,11,-13,12.34,12.94,11.99,24.93,-0.9,-4.59,4.52,-0.08
Gardner-Webb,2019,Virginia,First Round,1,71,16,56,15,-15,10.15,5.08,20.38,25.46,-4.43,1.19,-3.8,-2.61
Abilene Christian,2019,Kentucky,First Round,2,79,15,44,35,-13,10.29,8.31,13.12,21.43,-7.34,-4.14,2.24,-1.91
Iona,2019,North Carolina,First Round,1,88,16,73,15,-15,11.35,19.81,4.12,23.94,-5.5,2.92,-7.69,-4.78
Ohio State,2019,Iowa State,First Round,6,59,11,62,-3,-5,9.3,10.5,7.57,18.07,11.0,2.84,11.04,13.89
Vermont,2019,Florida State,First Round,4,76,13,69,7,-9,10.26,8.69,9.31,17.99,-4.18,-0.37,5.25,4.88
Fairleigh Dickinson,2019,Gonzaga,First Round,1,87,16,49,38,-15,5.01,18.57,9.22,27.79,-7.24,-0.7,-5.39,-6.09
North Dakota State,2019,Duke,First Round,1,85,16,62,23,-15,11.98,17.48,9.41,26.9,-2.07,-1.85,-2.16,-4.01
Northeastern,2019,Kansas,First Round,4,87,13,53,34,-9,12.79,10.88,7.47,18.35,-0.7,2.73,1.22,3.95
Baylor,2019,Syracuse,First Round,8,69,9,78,-9,-1,10.09,3.37,10.37,13.73,9.26,5.23,8.15,13.38
St. Louis,2019,Virginia Tech,First Round,4,66,13,52,14,-9,7.79,6.5,12.79,19.28,2.23,-3.11,8.17,5.06
Maryland,2019,Belmont,First Round,11,77,6,79,-2,5,-2.6,11.35,-2.23,9.12,10.09,5.58,10.43,16.01
St. Mary's (Cal.),2019,Villanova,First Round,6,61,11,57,4,-5,7.97,5.02,9.31,14.33,4.4,2.16,10.42,12.58
UC Irvine,2019,Kansas State,First Round,4,64,13,70,-6,-9,9.18,-1.44,16.82,15.39,-2.3,-0.3,6.0,5.7
Minnesota,2019,Louisville,First Round,7,76,10,86,-10,-3,11.04,8.4,8.88,17.28,11.27,5.5,7.02,12.52
Colgate,2019,Tennessee,First Round,2,77,15,70,7,-13,10.16,14.69,6.86,21.55,-3.83,1.82,-0.59,1.23
Iowa,2019,Cincinnati,First Round,7,72,10,79,-7,-3,5.5,2.64,11.9,14.53,9.84,12.59,1.67,14.27
Old Dominion,2019,Purdue,First Round,3,61,14,48,13,-11,11.99,12.29,9.11,21.4,-1.18,-5.84,9.58,3.74
New Mexico State,2019,Auburn,First Round,5,78,12,77,1,-7,10.92,13.12,7.72,20.84,-2.38,3.91,6.14,10.05
Seton Hall,2019,Wofford,First Round,7,84,10,68,16,-3,0.8,7.67,6.26,13.92,8.34,5.79,4.46,10.25
Oklahoma,2019,Mississippi,First Round,8,72,9,95,-23,-1,8.13,7.75,4.57,12.32,12.21,6.9,8.4,15.3
Georgia State,2019,Houston,First Round,3,84,14,55,29,-11,4.61,6.31,12.6,18.91,0.65,3.57,-1.13,2.44
Arizona State,2019,Buffalo,First Round,6,91,11,74,17,-5,2.62,14.35,1.22,15.56,6.04,8.06,2.22,10.28
Northern Kentucky,2019,Texas Tech,First Round,3,72,14,57,15,-11,9.53,5.95,16.84,22.79,-2.39,3.55,1.11,4.67
Florida,2019,Nevada,First Round,7,61,10,70,-9,-3,2.68,9.4,6.61,16.0,11.22,0.81,14.61,15.42
