1, ['Notre Dame' 'Rutgers']
2, ['Wyoming' 'Indiana']
3, ['Texas Southern' 'Texas A&M-Corpus Christi']
4, ['Wright State' 'Bryant']
9, ['Alabama', 'Notre Dame']
15, ["St. Mary's (Cal.)", 'Indiana']
21, ['Kansas', 'Texas Southern']
29, ['Arizona', 'Wright State']
5, ['Gonzaga', 'Georgia State']
13, ['Baylor', 'Norfolk State']
6, ['Boise State', 'Memphis']
14, ['North Carolina', 'Marquette']
22, ['San Diego State', 'Creighton']
30, ['Seton Hall', 'TCU']
7, ['Connecticut', 'New Mexico State']
23, ['Iowa', 'Richmond']
31, ['Houston', 'Alabama-Birmingham']
8, ['Arkansas', 'Vermont']
16, ['UCLA', 'Akron']
24, ['Providence', 'South Dakota State']
32, ['Illinois', 'Chattanooga']
17, ['Texas', 'Virginia Tech']
25, ['LSU', 'Iowa State']
33, ['Colorado State', 'Michigan']
10, ['Texas Tech', 'Montana State']
18, ['Purdue', 'Yale']
26, ['Wisconsin', 'Colgate']
34, ['Tennessee', 'Longwood']
11, ['Michigan State', 'Davidson']
19, ['Murray State', 'San Francisco']
27, ['Southern California', 'Miami (Fla.)']
35, ['Ohio State', 'Loyola (Ill.)']
12, ['Duke', 'Cal State Fullerton']
20, ['Kentucky', "Saint Peter's"]
28, ['Auburn', 'Jacksonville State']
36, ['Villanova', 'Delaware']
37, ['Gonzaga', 'Memphis']
38, ['Connecticut', 'Arkansas']
39, ['Alabama', 'Texas Tech']
40, ['Michigan State', 'Duke']
41, ['Baylor', 'Marquette']
42, ['Indiana', 'UCLA']
43, ['Texas', 'Purdue']
44, ['San Francisco', 'Kentucky']
45, ['Kansas', 'San Diego State']
46, ['Iowa', 'Providence']
47, ['LSU', 'Wisconsin']
48, ['Southern California', 'Auburn']
49, ['Arizona', 'Seton Hall']
50, ['Houston', 'Illinois']
51, ['Michigan', 'Tennessee']
52, ['Loyola (Ill.)', 'Villanova']
53, ['Gonzaga', 'Connecticut']
54, ['Texas Tech', 'Duke']
55, ['Baylor', 'UCLA']
56, ['Purdue', 'Kentucky']
57, ['Kansas', 'Iowa']
58, ['LSU', 'Auburn']
59, ['Arizona', 'Houston']
60, ['Tennessee', 'Villanova']
61, ['Gonzaga', 'Texas Tech']
62, ['Baylor', 'Kentucky']
63, ['Kansas', 'Auburn']
64, ['Arizona', 'Tennessee']
65, ['Gonzaga', 'Kentucky']
66, ['Auburn', 'Arizona']
67, ['Gonzaga', 'Arizona']
