team,rpi,year
Purdue,0.6608,1994
Missouri,0.652,1994
North Carolina,0.6425,1994
Massachusetts,0.6389,1994
Temple,0.6378,1994
Arkansas,0.6365,1994
Louisville,0.6357,1994
Kentucky,0.635,1994
Michigan,0.634,1994
Arizona,0.6302,1994
Duke,0.6299,1994
Connecticut,0.6228,1994
Kansas,0.6222,1994
Florida,0.6127,1994
Indiana,0.6124,1994
Syracuse,0.6063,1994
Oklahoma St,0.6048,1994
Marquette,0.6035,1994
Nebraska,0.601,1994
Cincinnati,0.6002,1994
Virginia,0.5997,1994
Wake Forest,0.5979,1994
California,0.5951,1994
Minnesota,0.5943,1994
Providence,0.5942,1994
UCLA,0.5931,1994
Michigan St,0.5928,1994
Illinois,0.5902,1994
UAB,0.5858,1994
Wisconsin,0.5854,1994
Ohio,0.5813,1994
Saint Louis,0.5806,1994
Oklahoma,0.5802,1994
Boston College,0.5782,1994
Charlotte,0.5765,1994
Southern Illinois,0.5759,1994
Georgetown,0.5759,1994
Washington St,0.5753,1994
Georgia Tech,0.5751,1994
Maryland,0.5743,1994
School,RPI,1994
Texas,0.574,1994
Drexel,0.5739,1994
Seton Hall,0.5735,1994
Western Kentucky,0.5724,1994
New Mexico,0.572,1994
BYU,0.5719,1994
Villanova,0.571,1994
UL Lafayette,0.57,1994
Coll of Charleston,0.5677,1994
Kansas St,0.5677,1994
Chattanooga,0.5677,1994
Mississippi St,0.5671,1994
Tulsa,0.5656,1994
Alabama,0.5648,1994
DePaul,0.5645,1994
UW Green Bay,0.5641,1994
Pennsylvania,0.5631,1994
VCU,0.5612,1994
Weber St,0.5607,1994
Stanford,0.5607,1994
George Washington,0.5601,1994
New Orleans,0.5594,1994
Siena,0.559,1994
Southern Miss,0.5571,1994
Xavier,0.5569,1994
Ohio State,0.5545,1994
West Virginia,0.5541,1994
Tulane,0.554,1994
Vanderbilt,0.5538,1994
Canisius,0.5536,1994
New Mexico St,0.551,1994
Arizona St,0.551,1994
Duquesne,0.5508,1994
Virginia Tech,0.5492,1994
Miami (OH),0.5489,1994
Fresno St,0.5466,1994
Florida St,0.546,1994
Manhattan,0.5446,1994
Hawai'i,0.5439,1994
Gonzaga,0.5429,1994
School,RPI,1994
Saint Joseph's,0.5423,1994
James Madison,0.5419,1994
Northwestern,0.5417,1994
Pittsburgh,0.5401,1994
Maine,0.54,1994
Clemson,0.54,1994
Bradley,0.5398,1994
Murray St,0.5391,1994
Boise St,0.5385,1994
Memphis,0.5377,1994
Rider,0.5373,1994
Davidson,0.536,1994
Bowling Green,0.5358,1994
Rutgers,0.5358,1994
Iowa State,0.5347,1994
Penn State,0.5344,1994
Pepperdine,0.534,1994
Towson,0.534,1994
Texas A&M,0.5338,1994
UIC,0.5331,1994
UTEP,0.5309,1994
Georgia,0.5291,1994
LSU,0.5273,1994
Idaho St,0.5265,1994
Texas St,0.5265,1994
Notre Dame,0.5253,1994
Southern California,0.5249,1994
Mississippi,0.5238,1994
Old Dominion,0.5238,1994
Iowa,0.5226,1994
Texas Tech,0.5219,1994
Coppin St,0.5219,1994
Idaho,0.5215,1994
Arkansas St,0.5206,1994
Detroit,0.5198,1994
St. John's,0.5194,1994
Jacksonville,0.5193,1994
Valparaiso,0.5183,1994
Loyola (Maryland),0.5175,1994
San Francisco,0.5171,1994
School,RPI,1994
Rhode Island,0.5171,1994
South Florida,0.5164,1994
Illinois St,0.5162,1994
Evansville,0.5155,1994
Auburn,0.5145,1994
North Carolina St,0.5144,1994
San Diego,0.5131,1994
Hartford,0.513,1994
Ball State,0.5124,1994
Campbell,0.512,1994
Western Michigan,0.5119,1994
UNC Wilmington,0.5096,1994
Liberty,0.5095,1994
Baylor,0.509,1994
Colorado St,0.5089,1994
Butler,0.5085,1994
Monmouth,0.5084,1994
UT Pan American,0.5076,1994
San Jose St,0.5073,1994
Montana,0.5068,1994
Princeton,0.5065,1994
Richmond,0.5064,1994
Texas Southern,0.5063,1994
Tennessee St,0.5062,1994
UL Monroe,0.5061,1994
Wyoming,0.5058,1994
Toledo,0.5052,1994
Long Beach,0.5051,1994
East Carolina,0.5047,1994
South Alabama,0.5043,1994
Appalachian St,0.5036,1994
UCF,0.5034,1994
Rice,0.503,1994
Utah,0.5026,1994
Montana St,0.5026,1994
Eastern Michigan,0.502,1994
UNLV,0.5015,1994
Wagner,0.501,1994
South Carolina,0.4998,1994
Jackson St,0.4991,1994
School,RPI,1994
Northern Iowa,0.4989,1994
Radford,0.498,1994
Colorado,0.497,1994
St. Bonaventure,0.4963,1994
New Hampshire,0.4957,1994
St. Peter's,0.4952,1994
Delaware,0.495,1994
Santa Clara,0.4945,1994
Kent St,0.4943,1994
Nicholls St,0.4935,1994
La Salle,0.493,1994
Robert Morris,0.4922,1994
East Tenn St,0.4919,1994
Missouri St,0.488,1994
Utah St,0.4871,1994
Cleveland St,0.4864,1994
Fairleigh Dickinson,0.4862,1994
Oregon,0.4839,1994
Pacific,0.4836,1994
Portland,0.4808,1994
Northern Arizona,0.4796,1994
Washington,0.4775,1994
San Diego St,0.4765,1994
UMKC,0.4762,1994
Marist,0.4759,1994
Brown,0.4711,1994
UC Santa Barbara,0.4707,1994
Oregon St,0.4696,1994
Colgate,0.4683,1994
Alabama St,0.468,1994
St. Mary's,0.4668,1994
St. Francis (PA),0.4666,1994
Southern Utah,0.466,1994
Centenary,0.4653,1994
UNC Greensboro,0.4652,1994
Georgia So,0.4646,1994
North Texas,0.4646,1994
SMU,0.4641,1994
Holy Cross,0.4632,1994
UA Little Rock,0.4631,1994
School,RPI,1994
Florida Intl,0.4628,1994
Fairfield,0.4623,1994
Drake,0.461,1994
Wichita St,0.4602,1994
North Carolina A&T,0.4599,1994
Western Carolina,0.4597,1994
Vermont,0.4583,1994
Dayton,0.4581,1994
Nevada,0.4564,1994
Mt St. Mary's,0.4556,1994
Navy,0.4553,1994
Eastern Kentucky,0.4553,1994
Furman,0.455,1994
Lamar,0.4545,1994
Georgia St,0.4545,1994
Eastern Illinois,0.4526,1994
South Carolina St,0.452,1994
Morehead St,0.4492,1994
Boston U,0.4486,1994
Stetson,0.4473,1994
American,0.4472,1994
Houston,0.4465,1994
Loyola (Chicago),0.4444,1994
George Mason,0.4442,1994
Miami (FL),0.4436,1994
Wright St,0.4434,1994
Air Force,0.4434,1994
Southern U,0.443,1994
The Citadel,0.4416,1994
Charleston Southern,0.4407,1994
SE Louisiana,0.4406,1994
UW Milwaukee,0.4385,1994
Austin Peay,0.4383,1994
UT San Antonio,0.4379,1994
Tennessee,0.4372,1994
NE Illinois,0.4372,1994
Dartmouth,0.4368,1994
UM Eastern Shore,0.4358,1994
UC Irvine,0.4349,1994
TCU,0.4336,1994
School,RPI,1994
Northern Illinois,0.4329,1994
Stephen F. Austin,0.4312,1994
Fordham,0.4289,1994
Yale,0.4279,1994
UMBC,0.4275,1994
McNeese St,0.4272,1994
Northwestern St,0.4272,1994
Loyola Marymount,0.4251,1994
Marshall,0.4239,1994
Cornell,0.4227,1994
Central Michigan,0.4204,1994
Bucknell,0.4202,1994
Troy,0.42,1994
Akron,0.4191,1994
Lehigh,0.4183,1994
Samford,0.4182,1994
CS Fullerton,0.4172,1994
CS Northridge,0.4167,1994
Niagara,0.4166,1994
Creighton,0.4161,1994
Northeastern,0.4159,1994
Mercer,0.415,1994
Eastern Washington,0.4142,1994
Indiana St,0.4133,1994
Western Illinois,0.4117,1994
Lafayette,0.4116,1994
Tennessee Tech,0.4112,1994
Howard,0.411,1994
Harvard,0.4093,1994
Iona,0.409,1994
William & Mary,0.408,1994
Miss Valley St,0.4075,1994
SE Missouri St,0.4069,1994
Winthrop,0.4059,1994
Sam Houston,0.4057,1994
