team,conference,sos,osrs,dsrs,srs,year
Arkansas,SEC (West),7.64,20.21,3.76,23.97,1994
Arizona,Pac-10,8.9,19.78,3.98,23.76,1994
North Carolina,ACC,9.39,16.88,5.74,22.62,1994
Connecticut,Big East,6.26,13.63,8.96,22.58,1994
Kentucky,SEC (East),9.47,15.58,6.16,21.73,1994
Purdue,Big Ten,10.0,14.26,7.12,21.38,1994
Kansas,Big 8,8.61,9.96,10.74,20.7,1994
Duke,ACC,9.0,8.85,10.44,19.29,1994
Providence,Big East,9.91,11.27,7.97,19.24,1994
Illinois,Big Ten,9.9,12.98,6.14,19.11,1994
Minnesota,Big Ten,10.27,8.63,10.43,19.06,1994
Louisville,Metro,7.41,9.72,9.04,18.77,1994
Michigan,Big Ten,12.15,9.63,8.83,18.46,1994
Syracuse,Big East,8.83,15.03,2.76,17.8,1994
Oklahoma State,Big 8,8.37,7.32,10.33,17.65,1994
Georgetown,Big East,12.05,2.21,15.18,17.39,1994
Temple,A-10,8.24,-5.71,22.99,17.28,1994
Boston College,Big East,9.81,7.64,9.14,16.78,1994
Massachusetts,A-10,6.21,5.08,11.62,16.69,1994
UCLA,Pac-10,6.77,14.15,2.16,16.31,1994
Florida,SEC (East),9.08,4.02,12.16,16.19,1994
Indiana,Big Ten,12.18,11.93,4.11,16.04,1994
Michigan State,Big Ten,10.8,5.1,10.67,15.77,1994
Missouri,Big 8,8.29,9.47,6.2,15.68,1994
Marquette,GMWC,8.01,-1.47,17.1,15.63,1994
Wisconsin,Big Ten,9.93,7.55,7.79,15.34,1994
Cincinnati,GMWC,6.18,7.7,7.61,15.31,1994
Texas,SWC,2.94,16.87,-1.76,15.11,1994
UAB,GMWC,3.49,-1.29,15.98,14.69,1994
California,Pac-10,7.19,8.2,6.09,14.29,1994
Maryland,ACC,7.4,10.07,4.06,14.13,1994
Iowa State,Big 8,6.15,10.61,3.38,13.99,1994
Wake Forest,ACC,7.89,0.87,13.04,13.92,1994
Washington State,Pac-10,7.66,4.93,8.84,13.77,1994
Seton Hall,Big East,10.69,-0.35,13.94,13.59,1994
