1995-1996 RPI,,,,,,,
,,,,,,,
All records reflect games between Division I teams only,,,,,,,
,,,,,,,
Click on team name for schedule and results.,,,,,,,
,,,,,,,
Shaded teams made the tournament.,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,SOS,,Polls,
Rank,School,W-L,RPI,Rank,Rating,AP,USA
1,Kentucky,28-2,0.684,3,0.6009,,
2,UMass,31-1,0.6647,33,0.5633,,
3,UConn,30-2,0.6463,57,0.5492,,
4,Cincinnati,25-4,0.6449,19,0.5725,,
5,Villanova,25-6,0.6441,10,0.59,,
6,Purdue,25-5,0.6398,17,0.5753,,
7,Kansas,25-4,0.6397,28,0.5655,,
8,Wake Forest,23-5,0.637,16,0.5756,,
9,Georgia Tech,22-11,0.635,1,0.6245,,
10,Texas Tech,28-1,0.6283,110,0.5159,,
,,,,,,,
,,,,,,,
11,Arizona,24-6,0.622,35,0.5626,,
12,Georgetown,24-7,0.6219,22,0.5712,,
13,Iowa State,22-8,0.6191,12,0.581,,
14,Penn State,21-6,0.6147,39,0.5603,,
15,Memphis,22-7,0.6146,27,0.5667,,
16,Syracuse,24-8,0.6144,26,0.5693,,
17,North Carolina,20-10,0.614,6,0.5965,,
18,Mississippi St,22-7,0.6122,32,0.5634,,
19,Louisville,19-11,0.607,5,0.5983,,
20,UCLA,23-7,0.607,51,0.5538,,
,,,,,,,
,,,,,,,
21,Wis-Green Bay,24-3,0.6065,117,0.5124,,
22,Utah,23-6,0.6061,64,0.5437,,
23,Marquette,22-7,0.6059,47,0.555,,
24,New Mexico,26-4,0.601,116,0.5125,,
25,Bradley,22-7,0.5992,60,0.5461,,
26,Iowa,22-8,0.5983,53,0.5532,,
27,Temple,19-12,0.5977,9,0.5927,,
28,Indiana,18-11,0.597,11,0.5891,,
29,Duke,18-12,0.5961,7,0.5948,,
30,Maryland,17-12,0.592,8,0.594,,
,,,,,,,
,,,,,,,
31,Santa Clara,19-8,0.5911,52,0.5535,,
32,Michigan,20-11,0.5907,20,0.5725,,
33,Georgia,19-9,0.588,44,0.5578,,
34,Eastern Mich,22-5,0.5879,118,0.5123,,
35,Virginia Tech,22-5,0.5863,123,0.5101,,
36,Arkansas,18-12,0.5804,18,0.5739,,
37,Stanford,19-8,0.5796,70,0.5383,,
38,Oklahoma,17-12,0.5795,15,0.5772,,
39,Tulsa,22-7,0.5782,100,0.518,,
40,Clemson,18-10,0.577,46,0.5551,,
,,,,,,,
,,,,,,,
41,Kansas St,16-11,0.5754,25,0.5696,,
42,Providence,17-11,0.5733,38,0.562,,
43,Oklahoma St,16-10,0.5717,45,0.5571,,
44,Texas,20-9,0.5713,76,0.5319,,
45,Boston College,18-10,0.5701,61,0.5459,,
46,Minnesota,18-12,0.5699,40,0.5599,,
47,New Orleans,21-8,0.569,104,0.5173,,
48,Ark-Little Rock,21-6,0.5679,143,0.4979,,
49,Illinois,18-12,0.5662,50,0.5549,,
50,George Wash,21-7,0.5651,137,0.5034,,
,,,,,,,
,,,,,,,
51,Tulane,18-9,0.5646,79,0.5306,,
52,California,17-10,0.5643,65,0.5425,,
53,Virginia,15-Dec,0.5636,2,0.6033,,
54,Fresno St,19-10,0.5623,77,0.5313,,
55,South Carolina,17-11,0.5608,62,0.5454,,
56,Drexel,25-3,0.5607,255,0.45,,
57,Tennessee,14-14,0.559,14,0.5787,,
58,Iona,21-7,0.5578,150,0.4937,,
59,Florida,16-Dec,0.5568,4,0.5995,,
60,Wisconsin,15-14,0.5567,23,0.5698,,
,,,,,,,
,,,,,,,
61,UNC Charlotte,14-15,0.5549,13,0.579,,
62,Princeton,20-6,0.5546,174,0.4831,,
63,Vanderbilt,16-13,0.5542,49,0.555,,
64,Alabama,16-11,0.5541,67,0.5412,,
65,Mt St. Mary's,21-7,0.5537,164,0.4883,,
66,VCU,24-8,0.5535,165,0.488,,
67,Fairfield,20-9,0.5526,131,0.5069,,
68,Washington St,16-11,0.5518,71,0.5382,,
69,Canisius,19-10,0.5517,105,0.5173,,
70,Coll of Charleston,22-3,0.55,279,0.44,,
,,,,,,,
,,,,,,,
71,Illinois St,19-11,0.5496,92,0.5216,,
72,Montana St,19-8,0.548,147,0.496,,
73,Nebraska,16-14,0.5476,54,0.5524,,
74,Miami-Ohio,20-7,0.5466,180,0.4818,,
75,Davidson,22-4,0.5457,267,0.4456,,
76,Gonzaga,19-8,0.5455,152,0.4928,,
77,North Carolina St,15-16,0.5448,30,0.5652,,
78,Michigan St,14-15,0.5441,31,0.5645,,
79,Colorado St,16-11,0.5435,83,0.5271,,
80,Monmouth,20-9,0.5421,151,0.493,,
,,,,,,,
,,,,,,,
81,Washington,16-11,0.5418,85,0.5248,,
82,St. Louis,16-13,0.5413,72,0.5379,,
83,Butler,18-8,0.5403,161,0.4896,,
84,Detroit,17-11,0.5399,103,0.5175,,
85,Missouri,17-14,0.5393,73,0.5363,,
86,Portland,17-10,0.5392,128,0.509,,
87,Houston,15-10,0.5384,101,0.5178,,
88,Oregon,13-13,0.5373,56,0.5498,,
89,Florida St,13-14,0.5366,48,0.555,,
90,St. Joseph's,15-12,0.5366,80,0.5303,,
,,,,,,,
,,,,,,,
91,Manhattan,17-11,0.5358,120,0.512,,
92,SW Missouri St,16-12,0.5352,87,0.5231,,
93,Rhode Island,18-13,0.535,95,0.5198,,
94,Marist,22-6,0.5325,262,0.4481,,
95,Rider,19-11,0.5307,146,0.4965,,
96,Auburn,18-12,0.5301,132,0.5068,,
97,Weber St,18-10,0.5298,154,0.4921,,
98,TCU,14-14,0.5292,69,0.539,,
99,Seton Hall,16-Dec,0.5289,36,0.5623,,
100,San Francisco,13-12,0.5282,78,0.531,,
,,,,,,,
,,,,,,,
101,Murray St,16-9,0.5271,162,0.4895,,
