1997-1998 RPI,,,,,,,
,,,,,,,
All records reflect games between Division I teams only,,,,,,,
,,,,,,,
Click on team name for schedule and results.,,,,,,,
,,,,,,,
Shaded teams made the tournament.,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,SOS,,Polls,
Rank,School,W-L,RPI,Rank,Rating,AP,USA
1,North Carolina,30-3,0.6769,4,0.5994,1,1
2,Duke,27-3,0.6687,6,0.5916,3,3
3,Kentucky,29-4,0.6608,10,0.5882,5,6
4,Kansas,33-3,0.6586,23,0.5726,2,2
5,UConn,29-4,0.6543,15,0.5795,6,5
6,Arizona,27-4,0.6517,17,0.5787,4,4
7,Maryland,19-10,0.6387,1,0.6332,20,22
8,Purdue,26-7,0.6345,13,0.5834,11,9
9,South Carolina,22-7,0.6327,7,0.5907,14,13
10,Stanford,25-4,0.6325,43,0.556,10,10
,,,,,,,
,,,,,,,
11,Michigan,23-8,0.6276,9,0.5895,12,12
12,Mississippi,20-6,0.6217,24,0.5725,13,14
13,UCLA,21-8,0.6178,14,0.5824,19,20
14,New Mexico,23-7,0.6157,32,0.5654,18,18
15,Michigan St,20-7,0.6139,26,0.5717,16,15
16,Cincinnati,26-5,0.6137,71,0.5386,9,11
17,Syracuse,24-8,0.6135,30,0.568,21,19
18,Arkansas,23-7,0.6069,46,0.5536,17,17
19,TCU,26-5,0.6065,86,0.5291,15,16
20,UMass,21-10,0.6027,19,0.5777,,
,,,,,,,
,,,,,,,
21,Princeton,25-1,0.6005,188,0.4801,8,8
22,Rhode Island,22-8,0.5984,48,0.5534,,
23,Xavier,22-7,0.5982,65,0.5447,23,21
24,Tennessee,20-8,0.598,37,0.5593,,
25,Indiana,19-11,0.5974,12,0.5855,,
26,Temple,21-8,0.5974,44,0.5551,24,24
27,Illinois,22-9,0.5968,38,0.5592,22,23
28,Clemson,18-13,0.5963,3,0.6015,,
29,Illinois-Chi,22-5,0.5961,99,0.5232,,
30,Utah,24-3,0.5958,141,0.4981,7,7
,,,,,,,
,,,,,,,
31,UNC Charlotte,19-10,0.5953,20,0.5753,,
32,St. John's,21-9,0.5936,40,0.5582,,
33,Illinois St,23-5,0.5919,109,0.5154,,
34,George Wash,24-8,0.5894,73,0.5359,,
35,Wake Forest,15-13,0.5874,2,0.6046,,
36,Oklahoma St,21-6,0.5872,98,0.5237,,
37,Nebraska,20-11,0.5848,34,0.5646,,
