2000-2001 RPI,,,,,,,
,,,,,,,
All records reflect games between Division I teams only,,,,,,,
,,,,,,,
Click on team name for schedule and results.,,,,,,,
,,,,,,,
Shaded teams made the tournament,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,SOS,,Polls,
Rank,School,W-L,RPI,Rank,Rating,AP,USA
1,Duke,29-4,0.664,6,0.5924,1,1
2,Stanford,26-2,0.6547,42,0.5634,2,2
3,Michigan St,24-4,0.6419,30,0.5701,3,3
4,North Carolina,25-6,0.6401,14,0.5847,6,5
5,Boston College,25-4,0.6352,47,0.5596,7,7
6,Illinois,24-7,0.6335,10,0.5866,4,6
7,Mississippi,24-7,0.6291,18,0.5807,14,13
8,Arizona,22-7,0.6288,11,0.5855,5,4
9,Texas,25-8,0.628,13,0.5848,18,17
10,Kentucky,22-9,0.6245,3,0.5961,9,10
,,,,,,,
,,,,,,,
11,UCLA,21-8,0.624,8,0.5906,15,18
12,Kansas,22-6,0.622,33,0.5674,12,12
13,Iowa State,24-5,0.6183,59,0.5485,10,9
14,Tennessee,22-10,0.6149,7,0.5907,,
15,Oklahoma,26-6,0.6141,60,0.548,13,14
16,Indiana,21-12,0.6111,2,0.6027,20,21
17,Florida,23-6,0.609,62,0.5476,8,8
18,Syracuse,24-8,0.6067,51,0.5589,17,16
19,Wisconsin,18-10,0.6066,4,0.5946,25,24
20,Fresno St,25-6,0.6037,80,0.5361,,
,,,,,,,
,,,,,,,
21,Southern Cal,20-9,0.6003,29,0.5704,,
22,Maryland,21-10,0.5993,21,0.5733,11,11
23,Creighton,24-7,0.5963,78,0.5369,,
24,Penn State,19-11,0.5961,15,0.5836,,
25,Notre Dame,19-9,0.5956,32,0.568,19,19
26,Iowa,22-11,0.5952,26,0.5714,24,25
27,Georgia,16-14,0.5929,1,0.6127,,
28,Providence,20-9,0.5926,46,0.5602,,
29,Butler,21-7,0.5924,72,0.5399,,
30,Wake Forest,19-10,0.5924,25,0.5714,23,22
,,,,,,,
,,,,,,,
31,Cincinnati,23-9,0.5903,63,0.5474,,
32,Georgia St,25-4,0.5886,143,0.4975,,
33,Virginia,20-8,0.5886,64,0.5467,16,15
34,Ohio State,20-10,0.5878,43,0.5615,,
35,California,20-10,0.5863,48,0.5595,,
36,St. Joseph's,25-6,0.5863,120,0.5129,22,23
37,BYU,24-8,0.5847,89,0.5295,,
38,Temple,21-12,0.5842,36,0.5668,,
39,Georgia Tech,17-12,0.5837,16,0.5828,,
40,Mississippi St,16-12,0.5817,12,0.5852,,
,,,,,,,
,,,,,,,
41,Arkansas,20-10,0.5795,57,0.5505,,
42,Georgetown,23-7,0.5793,105,0.5169,21,20
43,Richmond,21-6,0.5791,121,0.5128,,
44,Xavier,21-7,0.5783,97,0.5211,,
