2001-2002 RPI,,,,,,,
,,,,,,,
Records reflect games against Division I opponents only.,,,,,,,
,,,,,,,
Click on team name for schedule and results.,,,,,,,
,,,,,,,
Shaded teams made the tournament,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,SOS,,Polls,
Rank,School,W-L,RPI,Rank,Rating,AP,USA
1,Kansas,27-3,0.6654,9,0.5871,2,2
2,Cincinnati,30-3,0.6564,23,0.5722,5,5
3,Maryland,26-4,0.655,10,0.5845,4,3
4,Duke,29-3,0.6515,26,0.5665,1,1
5,Oklahoma,27-4,0.6513,12,0.578,3,3
6,Arizona,22-9,0.6351,1,0.6102,7,8
7,Alabama,26-7,0.6302,13,0.5777,8,8
8,Connecticut,24-6,0.6288,24,0.5718,10,13
9,Mississippi St,26-7,0.6279,18,0.5746,17,18
10,Pittsburgh,26-5,0.6176,63,0.5438,9,7
,,,,,,,
,,,,,,,
11,Kentucky,19-9,0.6174,3,0.597,16,15
12,Illinois,24-8,0.6171,19,0.5728,13,16
13,Texas Tech,23-8,0.6099,27,0.5658,,
14,Xavier,25-5,0.6096,78,0.5351,22,19
15,Florida,22-8,0.6095,25,0.5682,15,14
16,Miami-Florida,24-7,0.6089,49,0.5538,21,21
17,Ohio State,23-7,0.6086,44,0.556,14,12
18,Georgia,21-9,0.6064,17,0.5752,23,
19,Oklahoma St,23-8,0.6042,35,0.5582,20,22
20,Indiana,19-11,0.6041,4,0.5943,,
,,,,,,,
,,,,,,,
21,Gonzaga,28-3,0.6036,136,0.5037,6,6
22,Texas,20-11,0.6017,7,0.5872,,
23,Marquette,26-6,0.6004,87,0.5297,12,10
24,Wake Forest,20-12,0.5966,8,0.5872,,
25,Kent St,26-5,0.5964,118,0.5157,,
26,Southern Cal,22-9,0.5957,40,0.5577,18,16
27,Hawaii,27-5,0.5948,123,0.5118,25,24
28,Western Ky,26-3,0.5943,168,0.4936,19,20
29,California,22-8,0.5924,59,0.5454,,
30,UCLA,19-11,0.5922,11,0.5785,,
,,,,,,,
,,,,,,,
31,Utah,19-8,0.5906,50,0.5529,,
32,North Carolina St,22-10,0.5905,37,0.5581,,25
33,Tulsa,25-6,0.59,113,0.5179,,
34,Oregon,22-8,0.5875,70,0.5389,11,11
35,Michigan St,18-11,0.5846,21,0.5725,,
36,Pennsylvania,25-6,0.5844,125,0.5104,,
37,Charlotte,18-11,0.5844,22,0.5723,,
38,Stanford,19-9,0.5825,53,0.5505,24,23
39,San Diego St,19-11,0.5823,29,0.5653,,
40,St. John's,20-11,0.5813,32,0.56,,
,,,,,,,
,,,,,,,
41,Notre Dame,20-10,0.5799,52,0.551,,
42,Boston College,20-11,0.5797,39,0.5579,,
43,Villanova,17-12,0.5784,15,0.5759,,
44,Creighton,22-8,0.573,108,0.5195,,
45,Mississippi,19-10,0.571,65,0.5429,,
46,Arkansas,14-15,0.5699,2,0.5989,,
47,South Carolina,17-14,0.5688,16,0.5756,,
48,Southern Ill,26-7,0.5687,162,0.4957,,
49,Pepperdine,21-8,0.5686,117,0.5168,,
50,Virginia,17-11,0.5673,48,0.554,,
,,,,,,,
,,,,,,,
51,UNLV,20-10,0.5666,84,0.5333,,
52,BYU,16-11,0.5657,42,0.5567,,
53,Central Conn,27-4,0.5652,248,0.4632,,
54,Missouri,21-11,0.565,79,0.5346,,
55,Wisconsin,17-12,0.5642,41,0.5569,,
56,Georgetown,18-11,0.5636,62,0.5445,,
57,UNC Wilmington,22-9,0.5632,122,0.5144,,
58,Bowling Green,23-8,0.5629,138,0.5033,,
59,Vanderbilt,16-14,0.5628,20,0.5726,,
60,Utah St,22-7,0.5617,160,0.496,,
,,,,,,,
,,,,,,,
61,Louisville,18-12,0.5611,57,0.5482,,
62,Dayton,20-10,0.5599,93,0.5243,,
63,Wyoming,20-8,0.5592,129,0.5075,,
64,Fresno St,18-14,0.5591,38,0.5579,,
65,Tennessee,14-16,0.5584,6,0.589,,
66,New Mexico,16-13,0.5581,31,0.5602,,
67,Syracuse,20-11,0.5576,88,0.5285,,
68,LSU,17-14,0.5566,34,0.5593,,
69,Memphis,21-9,0.5563,128,0.5083,,
70,Iowa,19-15,0.5558,46,0.5548,,
,,,,,,,
,,,,,,,
71,Minnesota,17-12,0.555,61,0.5445,,
72,La Tech,18-9,0.5548,114,0.5176,,
73,Saint Joseph's,18-11,0.5544,85,0.5323,,
74,Richmond,19-13,0.5536,67,0.5402,,
75,South Florida,19-12,0.5533,81,0.5334,,
76,Princeton,15-11,0.553,60,0.545,,
77,Butler,25-5,0.5496,263,0.4551,,
78,Ball State,19-11,0.5483,106,0.5199,,
79,Davidson,18-9,0.5454,133,0.505,,
80,Temple,15-14,0.545,47,0.5542,,
,,,,,,,
,,,,,,,
81,Houston,17-14,0.5436,66,0.5421,,
82,St. Bonaventure,17-12,0.5424,89,0.5278,,
83,Valparaiso,24-7,0.5415,246,0.4639,,
84,Rutgers,18-12,0.5413,98,0.5218,,
85,UC Santa Barbara,19-10,0.541,139,0.503,,
86,Georgia Tech,15-16,0.541,33,0.56,,
87,VCU,20-11,0.5408,131,0.506,,
88,Coll of Charleston,20-8,0.5404,195,0.4824,,
89,McNeese St,20-8,0.5403,197,0.4823,,
90,Detroit,18-12,0.5397,107,0.5196,,
,,,,,,,
,,,,,,,
91,George Mason,19-9,0.5387,173,0.492,,
92,UC Irvine,20-10,0.5377,166,0.4948,,
93,UL-Lafayette,19-10,0.5352,164,0.4952,,
94,Georgia St,19-10,0.535,165,0.4949,,
95,New Mexico St,18-11,0.5336,134,0.5046,,
96,Providence,15-16,0.5325,55,0.5488,,
97,Arizona St,14-14,0.5325,64,0.5434,,
98,Illinois St,17-14,0.5296,96,0.5233,,
99,UL-Monroe,19-12,0.5291,142,0.5012,,
100,Purdue,13-18,0.529,28,0.5656,,
,,,,,,,
,,,,,,,
101,Yale,20-8,0.5286,236,0.4667,,
102,Auburn,16-Dec,0.5283,30,0.5615,,
103,Montana St,16-9,0.5269,179,0.4892,,
104,Tennessee Tech,21-6,0.5252,299,0.441,,
105,Hampton,25-6,0.5249,308,0.4311,,
106,Massachusetts,13-16,0.5244,54,0.5498,,
107,Nevada,16-13,0.5243,120,0.5152,,
108,Pacific,18-10,0.523,193,0.4831,,
109,Nebraska,15-Dec,0.5225,56,0.5485,,
110,Washington,18-Oct,0.5212,14,0.5759,,
,,,,,,,
,,,,,,,
111,Saint Louis,15-16,0.521,82,0.5333,,
112,UNC Greensboro,20-10,0.5199,228,0.471,,
113,East Tenn St,15-10,0.5197,171,0.4929,,
114,Wagner,19-9,0.5183,240,0.4649,,
115,Ohio,17-11,0.5183,180,0.4887,,
116,SMU,14-14,0.5183,92,0.5244,,
117,Colorado,14-14,0.5175,95,0.5233,,
118,Miami-Ohio,13-18,0.5159,58,0.5481,,
119,North Carolina,20-Aug,0.5157,5,0.5924,,
120,Brown,16-10,0.5155,199,0.4822,,
,,,,,,,
,,,,,,,
121,Chattanooga,14-14,0.5144,109,0.5192,,
122,Troy St,18-10,0.5143,225,0.4715,,
123,Florida Atl,18-11,0.5142,210,0.4787,,
124,Illinois-Chi,17-13,0.514,157,0.4964,,
125,Seton Hall,18-Nov,0.5135,36,0.5582,,
126,Wright St,16-11,0.513,184,0.4865,,
127,Northwestern,16-13,0.5124,145,0.4993,,
128,Florida St,17-Nov,0.5124,51,0.5523,,
129,Manhattan,20-8,0.5121,288,0.4446,,
130,Tulane,13-15,0.5119,90,0.5277,,
,,,,,,,
,,,,,,,
131,Marist,19-9,0.5118,260,0.4562,,
132,Monmouth,18-12,0.5117,198,0.4823,,
133,San Diego,14-13,0.5112,127,0.5088,,
134,TCU,14-15,0.5112,103,0.5206,,
135,Oakland,16-12,0.511,175,0.4908,,
136,Kansas St,16-Dec,0.5102,71,0.5374,,
137,George Wash,16-Dec,0.5093,74,0.5362,,
138,Weber St,15-11,0.5088,185,0.486,,
139,Toledo,15-14,0.5082,132,0.5052,,
140,Delaware,14-16,0.507,104,0.5204,,
,,,,,,,
,,,,,,,
141,Samford,15-14,0.5061,140,0.5024,,
142,Michigan,18-Oct,0.5058,45,0.5553,,
143,Eastern Wash,15-13,0.5057,161,0.4957,,
144,SMS,17-15,0.5052,156,0.4965,,
145,La Salle,15-17,0.5051,116,0.5172,,
146,Murray St,17-11,0.5037,233,0.4693,,
147,Drexel,14-14,0.503,135,0.504,,
148,TX-San Antonio,19-10,0.5018,273,0.4507,,
149,Boston U,22-9,0.5017,307,0.4324,,
150,Western Mich,17-13,0.5011,209,0.4792,,
,,,,,,,
,,,,,,,
151,UCF,16-12,0.501,213,0.4776,,
152,Jacksonville,14-12,0.5003,182,0.4876,,
153,UMBC,20-9,0.5001,301,0.4369,,
154,Clemson,13-17,0.4998,97,0.5219,,
155,Baylor,16-Dec,0.4997,94,0.5234,,
156,UAB,13-17,0.4995,99,0.5216,,
157,Loyola-Chicago,16-13,0.4995,200,0.4821,,
158,Georgia So,11-Nov,0.4985,150,0.498,,
159,Furman,13-13,0.4973,158,0.4964,,
160,Wis-Milwaukee,13-13,0.497,159,0.496,,
,,,,,,,
,,,,,,,
161,UMKC,16-11,0.496,247,0.4638,,
162,Holy Cross,18-14,0.4952,219,0.4727,,
163,Colorado St,17-Oct,0.4948,73,0.5363,,
164,Niagara,18-14,0.4948,223,0.4722,,
165,Oral Roberts,17-13,0.4939,232,0.4696,,
166,Wichita St,15-15,0.4937,174,0.4916,,
167,Iowa State,19-Nov,0.4935,76,0.5358,,
168,Northern Iowa,14-15,0.4932,154,0.4966,,
169,Ark-Little Rock,16-11,0.4921,258,0.4586,,
170,American,18-12,0.4918,262,0.4557,,
,,,,,,,
,,,,,,,
171,Marshall,13-15,0.4917,143,0.5008,,
172,Rider,17-11,0.491,270,0.4523,,
173,East Carolina,18-Oct,0.4907,77,0.5353,,
174,Harvard,14-12,0.4902,216,0.4741,,
175,CS Northridge,16-Nov,0.49,115,0.5175,,
176,Boise St,17-Dec,0.4897,121,0.5151,,
177,Montana,14-14,0.4892,186,0.4857,,
178,The Citadel,13-12,0.4886,212,0.4781,,
179,Oregon St,17-Sep,0.4884,75,0.5359,,
180,Vermont,21-8,0.4863,323,0.4071,,
,,,,,,,
,,,,,,,
181,Old Dominion,13-16,0.4861,146,0.4988,,
182,Alcorn St,20-9,0.4861,318,0.4182,,
183,St. Francis-NY,18-11,0.486,298,0.4411,,
184,Morehead St,14-11,0.486,251,0.4613,,
185,Duquesne,19-Sep,0.4847,69,0.5392,,
186,Cal Poly,14-12,0.4842,239,0.4661,,
187,Hofstra,20-Dec,0.4839,105,0.5202,,
188,New Orleans,14-14,0.4839,211,0.4785,,
189,Texas A&M,22-Aug,0.4837,43,0.5561,,
190,Drake,14-15,0.483,191,0.4831,,
,,,,,,,
,,,,,,,
191,TX-Pan American,15-9,0.4829,303,0.4355,,
192,Long Beach,17-Nov,0.4818,124,0.5115,,
193,DePaul,19-Sep,0.4811,80,0.5343,,
194,IUPUI,15-Dec,0.4811,170,0.4933,,
195,North Texas,13-14,0.481,204,0.4809,,
196,Virginia Tech,18-Oct,0.4805,100,0.5216,,
197,Santa Clara,15-Dec,0.4804,172,0.4924,,
198,Air Force,19-Sep,0.4804,83,0.5333,,
199,Howard,18-13,0.4795,284,0.4458,,
200,Colgate,15-11,0.4782,286,0.4453,,
,,,,,,,
,,,,,,,
201,Sam Houston,14-14,0.4736,241,0.4648,,
202,San Francisco,15-Dec,0.4734,192,0.4831,,
203,Lafayette,14-14,0.473,245,0.464,,
204,Southern Miss,17-Sep,0.4729,119,0.5152,,
205,Middle Tenn St,15-Dec,0.4724,202,0.4817,,
206,Belmont,17-Nov,0.4719,149,0.4983,,
207,South Carolina St,14-15,0.4713,235,0.4675,,
208,Lamar,15-14,0.4703,265,0.4547,,
209,Quinnipiac,14-16,0.4699,229,0.471,,
210,Cleveland St,16-Dec,0.4694,194,0.4831,,
,,,,,,,
,,,,,,,
211,West Virginia,20-Jul,0.4694,68,0.5394,,
212,Austin Peay,18-Nov,0.4689,147,0.4987,,
213,Arkansas St,13-16,0.4684,215,0.4752,,
214,Columbia,16-Oct,0.4677,163,0.4954,,
215,Northern Ill,16-Dec,0.4676,205,0.4807,,
216,UTEP,22-Sep,0.4662,91,0.5248,,
217,Winthrop,17-11,0.466,317,0.419,,
218,Siena,16-18,0.4659,244,0.4643,,
219,Alabama A&M,15-10,0.4655,313,0.4206,,
220,Central Mich,19-Aug,0.4651,101,0.5213,,
,,,,,,,
,,,,,,,
221,Portland St,16-Nov,0.4649,189,0.4841,,
222,Alabama St,18-12,0.4646,316,0.4195,,
223,Akron,21-Sep,0.4641,110,0.5188,,
224,Rice,19-Oct,0.464,137,0.5037,,
225,Towson,18-Nov,0.4627,176,0.4905,,
226,William & Mary,19-Sep,0.4626,126,0.5096,,
227,Rhode Island,20-Aug,0.4619,102,0.5207,,
228,Buffalo,18-Dec,0.4617,196,0.4823,,
229,James Madison,13-15,0.4617,254,0.4608,,
230,Northern Ariz,14-Dec,0.4615,250,0.4615,,
,,,,,,,
,,,,,,,
231,Eastern Ill,16-Dec,0.4615,221,0.4724,,
232,Penn State,21-Jul,0.4609,86,0.5312,,
233,Fordham,20-Aug,0.4601,111,0.5182,,
234,Washington St,21-Jun,0.4584,72,0.5371,,
235,Iona,13-17,0.458,238,0.4662,,
236,Bradley,20-Sep,0.4579,130,0.5071,,
237,Fairfield,17-Dec,0.4574,224,0.4719,,
238,Stetson,16-Sep,0.4563,181,0.4884,,
239,Northwestern St,18-Dec,0.4547,218,0.473,,
240,SW Texas St,16-Nov,0.4532,234,0.4685,,
,,,,,,,
,,,,,,,
241,Radford,14-16,0.4527,279,0.4481,,
242,Jacksonville St,16-Nov,0.4518,237,0.4666,,
243,TX-Arlington,15-Nov,0.4517,252,0.4612,,
244,Tenn-Martin,14-Nov,0.4513,264,0.455,,
245,San Jose St,20-Sep,0.4508,151,0.4976,,
246,Bucknell,13-16,0.4501,274,0.4507,,
247,Delaware St,16-13,0.449,321,0.4147,,
248,Hartford,14-18,0.4479,271,0.4514,,
249,North Carolina A&T,17-Oct,0.4471,220,0.4727,,
250,Stephen F. Austin,15-Dec,0.447,280,0.4478,,
,,,,,,,
,,,,,,,
251,Wofford,18-Jul,0.4462,141,0.5016,,
252,VMI,18-Jul,0.4449,144,0.4998,,
253,Florida Intl,20-Aug,0.444,153,0.4967,,
254,Robert Morris,18-Dec,0.4429,259,0.4572,,
255,Southern Utah,16-Sep,0.4425,230,0.47,,
256,St. Mary's,20-Aug,0.4423,167,0.4945,,
257,Indiana St,22-Jun,0.4422,112,0.5182,,
258,Texas Southern,17-Nov,0.4387,266,0.454,,
259,Centenary,12-Sep,0.4382,297,0.4414,,
260,Dartmouth,18-Aug,0.4379,203,0.4813,,
,,,,,,,
,,,,,,,
261,Evansville,21-Jul,0.4349,155,0.4965,,
262,Loyola-Marymount,20-Aug,0.4346,188,0.4842,,
263,UNC Asheville,14-Dec,0.4341,312,0.425,,
264,Appalachian St,18-Jul,0.4337,187,0.485,,
265,Norfolk St,19-Oct,0.4321,253,0.4612,,
266,Western Car,16-Aug,0.4317,242,0.4644,,
267,UC Riverside,18-Jul,0.4301,206,0.4801,,
268,Maine,18-Nov,0.429,285,0.4455,,
269,Wis-Green Bay,21-Sep,0.4285,226,0.4714,,
270,Idaho,19-Aug,0.4283,222,0.4724,,
,,,,,,,
,,,,,,,
271,New Hampshire,17-Oct,0.428,281,0.4472,,
272,Army,16-Oct,0.428,294,0.4425,,
273,St. Francis-PA,21-Jun,0.4255,169,0.4933,,
274,Elon,16-Nov,0.4248,309,0.4306,,
275,Tennessee St,17-Sep,0.4248,272,0.451,,
276,Bethune-Cookman,17-Nov,0.4242,304,0.4346,,
277,Idaho St,17-Aug,0.4239,257,0.4586,,
278,Western Ill,16-Oct,0.4231,302,0.4359,,
279,Grambling,19-Aug,0.4208,249,0.4623,,
280,Canisius,20-Oct,0.4208,276,0.4499,,
,,,,,,,
,,,,,,,
281,Campbell,19-Jul,0.4198,231,0.47,,
282,Sacred Heart,20-Aug,0.4197,243,0.4644,,
283,Mercer,23-May,0.4187,148,0.4987,,
284,TAMU-CC,14-Jul,0.4182,282,0.4465,,
285,Navy,20-Sep,0.4179,267,0.4537,,
286,Portland,24-Jun,0.4179,177,0.4905,,
287,Jackson St,19-Sep,0.4178,277,0.4499,,
288,South Alabama,20-May,0.4174,178,0.4898,,
289,Charleston So,17-Oct,0.417,306,0.4326,,
290,Miss Valley St,16-Nov,0.4151,320,0.4176,,
,,,,,,,
,,,,,,,
291,Florida A&M,19-Sep,0.4148,283,0.4459,,
292,Cornell,22-Apr,0.4116,152,0.4975,,
293,MD-East Shore,18-Nov,0.4095,315,0.4195,,
294,High Point,19-Sep,0.4087,300,0.4378,,
295,Denver,20-Jul,0.4068,261,0.456,,
296,Long Island,22-May,0.4062,207,0.4799,,
297,Birmingham Southern,14-Sep,0.4061,322,0.411,,
298,Prairie View A&M,19-Sep,0.4054,305,0.4334,,
299,Albany,20-Aug,0.403,295,0.4421,,
300,Binghamton,19-Sep,0.4021,311,0.429,,
,,,,,,,
,,,,,,,
301,Eastern Mich,24-May,0.4,214,0.4758,,
302,Northeastern,21-Jul,0.3953,290,0.4438,,
303,CS Fullerton,22-Apr,0.3938,217,0.4738,,
304,Coastal Carolina,20-Aug,0.3934,310,0.4294,,
305,Morris Brown,22-Mar,0.3929,190,0.4838,,
306,SE Louisiana,20-Jun,0.3916,287,0.4452,,
307,Stony Brook,22-Jun,0.3915,275,0.4505,,
308,Youngstown St,23-Mar,0.3902,201,0.4818,,
309,St. Peter's,24-Apr,0.389,227,0.4711,,
310,SE Missouri St,22-Apr,0.3834,255,0.4599,,
,,,,,,,
,,,,,,,
311,Southern U,19-Jul,0.3809,319,0.4181,,
312,Eastern Ky,20-Mar,0.3773,256,0.4596,,
313,Lehigh,23-Apr,0.3766,268,0.4527,,
314,Loyola-Maryland,23-May,0.3766,293,0.4426,,
315,Nicholls St,25-Jan,0.3749,183,0.4871,,
316,Coppin St,25-May,0.373,296,0.4417,,
317,Sacramento St,19-Jul,0.3719,324,0.4061,,
318,Chicago St,24-Jan,0.3696,208,0.4795,,
319,Fairleigh Dickinson,25-Apr,0.3665,292,0.4427,,
320,Morgan St,25-Mar,0.3638,278,0.4494,,
,,,,,,,
,,,,,,,
321,Mt St. Mary's,24-Mar,0.3598,291,0.4428,,
322,Lipscomb,18-Feb,0.3581,289,0.4441,,
323,Ark-Pine Bluff,26-Feb,0.3574,269,0.4527,,
324,Liberty,24-Mar,0.3429,314,0.4202,,
"© 1994-2005 by Palm Sports Resources, Inc. All rights reserved.",,,,,,,
