2002-2003 RPI,,,,,,,,,
,,,,,,,,,
RPI calculations are based on games against Division I opponents only.,,,,,,,,,
,,,,,,,,,
Click on team name for schedule and results.,,,,,,,,,
,,,,,,,,,
"Last updated Sun Mar 16 2003, 4:28 PM",,,,,,,,,
,,,,,,,,,
Shaded teams made the tournament,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,SOS,,Polls,
Rank,School,W-L,RPI,OWP,OOWP,Rank,Rating,AP,USA
1,Kentucky,29-3,0.6596,0.5824,0.5672,15,0.5774,2,2
2,Arizona,25-3,0.6489,0.5784,0.5457,30,0.5675,1,1
3,Oklahoma,24-6,0.6471,0.6169,0.5546,3,0.5961,6,6
4,Texas,22-6,0.6434,0.6149,0.5581,4,0.596,3,3
5,Georgia,19-8,0.6352,0.6379,0.5611,1,0.6123,21,22
6,Kansas,23-7,0.6351,0.6093,0.5554,6,0.5913,4,4
7,Wake Forest,24-5,0.6298,0.5735,0.5445,36,0.5638,9,8
8,Pittsburgh,26-4,0.6296,0.5537,0.5444,56,0.5506,5,5
9,Syracuse,24-5,0.6291,0.5749,0.5388,40,0.5629,11,11
10,Marquette,23-5,0.6277,0.5733,0.5426,39,0.5631,8,8
,,,,,,,,,
,,,,,,,,,
11,Louisville,24-6,0.627,0.5784,0.5511,26,0.5693,20,16
12,Duke,24-6,0.6246,0.5722,0.5539,32,0.5661,12,12
13,Dayton,24-5,0.6212,0.5614,0.5346,54,0.5525,22,21
14,Notre Dame,22-9,0.6191,0.6121,0.5426,7,0.5889,17,19
15,Florida,24-7,0.6179,0.5726,0.5521,33,0.5658,7,7
16,Utah,23-7,0.6141,0.5809,0.5281,38,0.5633,,
17,Missouri,21-10,0.6137,0.6127,0.552,5,0.5925,,
18,Illinois,24-6,0.6136,0.5545,0.5454,55,0.5515,13,13
19,BYU,23-8,0.6127,0.5883,0.532,24,0.5696,,
20,Xavier,25-5,0.6125,0.5418,0.533,71,0.5389,10,10
,,,,,,,,,
,,,,,,,,,
21,Stanford,23-8,0.6123,0.5832,0.541,28,0.5691,15,14
22,Oklahoma St,20-9,0.6088,0.5946,0.5562,11,0.5818,23,20
23,Creighton,29-4,0.6062,0.5172,0.5116,115,0.5153,19,17
24,Mississippi St,21-9,0.6057,0.5867,0.5495,18,0.5743,,25
25,Wisconsin,22-7,0.6014,0.5544,0.5382,59,0.549,18,18
26,Memphis,23-6,0.5998,0.5344,0.5374,77,0.5354,16,24
27,Saint Joseph's,23-6,0.5944,0.5301,0.5245,86,0.5282,25,
28,Connecticut,21-9,0.593,0.5638,0.5444,47,0.5574,,
29,Cincinnati,17-11,0.592,0.6103,0.5404,9,0.587,,
30,Purdue,18-10,0.5911,0.5862,0.5494,19,0.5739,,
,,,,,,,,,
,,,,,,,,,
