2007-2008 RPI,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Records reflect games against Division I opponents only.,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Click on team name for schedule and results. Clickable column headings will sort by that column.,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
"Last updated Tue Mar 18 2008, 12:41 PM",,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Shaded teams made the tournament,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,RPI Data,,,,,SOS,,Polls,,,
Rank,School,W-L,RPI,W,L,Pct,OWP,OOWP,Rank,Rating,AP,USA,,
1,Tennessee,28-4,0.6759,26,3.2,0.8904,0.6312 (1),0.5508,1,0.6044,4,4,,
2,North Carolina,32-2,0.6758,31.6,2.8,0.9186,0.6183 (3),0.5478,3,0.5948,1,1,,
3,Memphis,33-1,0.6644,29,1.4,0.9539,0.5853 (21),0.5328,27,0.5678,2,3,,
4,UCLA,30-3,0.6532,27.6,3.4,0.8903,0.5841 (24),0.554,14,0.5741,3,2,,
5,Kansas,30-3,0.651,25.6,1.8,0.9343,0.5591 (56),0.5516,50,0.5566,5,5,,
6,Texas,27-6,0.6497,23.4,5.2,0.8182,0.6153 (4),0.55,4,0.5935,6,8,,
7,Duke,27-5,0.6474,24.2,4.6,0.8403,0.5960 (8),0.5573,8,0.5831,7,7,,
8,Georgetown,27-5,0.6424,23.8,3.4,0.875,0.5702 (40),0.554,32,0.5648,9,9,,
9,Xavier,27-6,0.6344,23.4,4.8,0.8298,0.5845 (23),0.539,24,0.5693,10,12,,
10,Drake,26-4,0.6283,24.8,3.2,0.8857,0.5485 (69),0.5305,68,0.5425,16,18,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
11,Wisconsin,29-4,0.6282,26.6,4,0.8693,0.5498 (66),0.5439,61,0.5478,8,6,,
12,Vanderbilt,26-7,0.6245,20,4.6,0.813,0.5701 (41),0.5446,41,0.5616,18,17,,
13,Louisville,24-8,0.6223,21.2,7.6,0.7361,0.6032 (6),0.5469,6,0.5844,13,13,,
14,Stanford,26-7,0.6171,22.8,5.4,0.8085,0.5539 (62),0.5522,56,0.5533,11,11,,
15,Pittsburgh,25-9,0.616,21,7,0.75,0.5809 (25),0.5521,20,0.5713,,,,
16,Michigan St,25-8,0.6145,19.8,5.6,0.7795,0.5691 (44),0.5404,43,0.5596,19,19,,
17,Butler,29-3,0.612,27.8,2.6,0.9145,0.5011 (155),0.5311,128,0.5111,12,10,,
18,Connecticut,24-8,0.6106,20.4,6.8,0.75,0.5775 (31),0.5374,35,0.5642,15,15,,
19,Clemson,23-9,0.609,19.8,7.8,0.7174,0.5805 (28),0.5576,17,0.5728,,,,
20,Marquette,23-9,0.6056,19,7.8,0.709,0.5873 (18),0.5389,21,0.5711,25,24,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
21,Kent St,28-6,0.605,24.8,4,0.8611,0.5231 (108),0.5128,111,0.5197,,,,
22,Indiana,25-7,0.6028,21,6.6,0.7609,0.5555 (59),0.5394,59,0.5502,22,20,,
