2009-2010 RPI,,,,,,,,,,,,
,,,,,,,,,,,,
Records reflect games against Division I opponents only.,,,,,,,,,,,,
,,,,,,,,,,,,
Click on team name for schedule and results. Clickable column headings will sort by that column.,,,,,,,,,,,,
,,,,,,,,,,,,
Shaded teams made the tournament,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,RPI Data,,,,,SOS,,Polls,
Rank,School,W-L,RPI,W,L,Pct,OWP,OOWP,Rank,Rating,AP,USA
1,Kansas,32-2,0.6878,28,1.2,0.9589,0.6165 (7),0.5594,5,0.5974,2,2
2,Kentucky,32-2,0.6658,27.6,1.2,0.9583,0.5736 (36),0.5574,31,0.5682,3,3
3,Duke,29-5,0.6637,24.2,3,0.8897,0.6048 (11),0.5557,8,0.5884,4,4
4,West Virginia,27-6,0.6607,25,5.2,0.8278,0.6238 (3),0.5673,3,0.605,10,8
5,Syracuse,28-4,0.6513,24.4,4.4,0.8472,0.5992 (14),0.5595,11,0.586,1,1
6,Kansas St,25-7,0.6447,22.6,7.4,0.7533,0.6367 (2),0.5521,2,0.6085,5,5
7,Georgetown,23-10,0.6353,20.6,9.6,0.6821,0.6519 (1),0.5554,1,0.6197,19,20
8,Temple,29-5,0.6342,28.6,4.2,0.872,0.5606 (57),0.5435,50,0.5549,20,16
9,Baylor,24-7,0.6334,20.8,5.8,0.782,0.5989 (15),0.5538,14,0.5839,21,22
10,New Mexico,29-4,0.6294,26.2,3.6,0.8792,0.5484 (77),0.5418,70,0.5462,8,10
,,,,,,,,,,,,
,,,,,,,,,,,,
11,Villanova,24-7,0.6271,22.4,6.2,0.7832,0.5771 (32),0.5708,22,0.575,9,9
12,Butler,28-4,0.6267,26.8,3.6,0.8816,0.5536 (69),0.518,76,0.5418,12,11
13,Texas A&M,22-9,0.6259,18.4,7.4,0.7132,0.6192 (4),0.5518,6,0.5968,23,24
14,Tennessee,25-8,0.6258,21,6.4,0.7664,0.5925 (20),0.5517,19,0.5789,16,13
15,Pittsburgh,24-8,0.6256,19.6,6.8,0.7424,0.6015 (13),0.5569,10,0.5866,17,18
16,Purdue,27-5,0.6228,24.6,5,0.8311,0.5568 (65),0.5464,55,0.5533,7,6
17,Northern Iowa,28-4,0.621,26,2.8,0.9028,0.5252 (120),0.531,112,0.5271,,
18,San Diego St,23-8,0.6158,21.8,5.6,0.7956,0.5696 (42),0.5282,48,0.5558,,
19,Xavier,24-8,0.6149,20.8,6,0.7761,0.5668 (44),0.5497,42,0.5611,25,
20,California,23-10,0.6148,19.4,8,0.708,0.6116 (8),0.5282,15,0.5838,,
,,,,,,,,,,,,
,,,,,,,,,,,,
21,Wisconsin,23-8,0.614,18.6,6.4,0.744,0.5877 (23),0.5368,28,0.5707,15,17
22,Ohio State,27-7,0.6128,22.6,5.4,0.8071,0.5505 (73),0.543,63,0.548,6,7
