2014-2015 RPI,,,,,,,,,,,,
,,,,,,,,,,,,
Records reflect games against Division I opponents only.,,,,,,,,,,,,
,,,,,,,,,,,,
Click on team name for schedule and results. Clickable column headings will sort by that column.,,,,,,,,,,,,
,,,,,,,,,,,,
Shaded teams made the tournament,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,RPI Data,,,,,SOS,,Polls,
Rank,School,W-L,RPI,W,L,Pct,OWP,OOWP,Rank,Rating,AP,USA
1,Kentucky,34-0,0.678,30.4,0,1,0.5754 (36),0.5612,25,0.5707,13,12
2,Villanova,32-2,0.6691,29.2,1.2,0.9605,0.5782 (30),0.5593,22,0.5719,6,6
3,Kansas,26-8,0.6687,21.6,5.6,0.7941,0.6554 (1),0.5699,1,0.6269,15,18
4,Wisconsin,31-3,0.6678,29,2.6,0.9177,0.5988 (14),0.556,14,0.5845,3,3
5,Arizona,31-3,0.6631,27.4,1.8,0.9384,0.5827 (23),0.5485,23,0.5713,1,1
6,Duke,29-4,0.6613,26.6,3.6,0.8808,0.6042 (13),0.5561,12,0.5881,23,20
7,Virginia,29-3,0.656,27.4,3,0.9013,0.5840 (21),0.5548,20,0.5742,,
8,Gonzaga,31-2,0.643,29.4,2,0.9363,0.5553 (68),0.5251,72,0.5452,,24
9,Iowa State,25-8,0.6353,21,6.4,0.7664,0.6055 (11),0.5637,6,0.5916,8,10
10,Baylor,23-9,0.6299,19.4,7.8,0.7132,0.6263 (3),0.5538,3,0.6022,12,13
,,,,,,,,,,,,
,,,,,,,,,,,,
11,North Carolina,24-11,0.6273,23.2,11.4,0.6705,0.6407 (2),0.5571,2,0.6129,,
12,SMU,26-6,0.627,23.6,5.2,0.8194,0.5795 (27),0.5297,40,0.5629,,
13,Maryland,27-6,0.6262,22.2,4.8,0.8222,0.5687 (47),0.5452,45,0.5609,,
14,Northern Iowa,30-3,0.6222,27.6,1.8,0.9388,0.5159 (121),0.5183,115,0.5167,,
15,VCU,26-9,0.6198,24.4,9,0.7305,0.6087 (8),0.5313,15,0.5829,,
16,Notre Dame,29-5,0.616,25,5,0.8333,0.5404 (82),0.5497,77,0.5435,,
17,Wichita St,27-4,0.6155,25.4,3.2,0.8881,0.5275 (102),0.5189,100,0.5246,5,5
18,Oklahoma,22-10,0.6145,18.4,8,0.697,0.5968 (15),0.5673,13,0.587,,
19,Utah,23-8,0.6142,19.4,6,0.7638,0.5767 (33),0.5394,36,0.5643,,
20,Arkansas,26-8,0.6123,22,6.8,0.7639,0.5732 (37),0.5387,42,0.5617,,
,,,,,,,,,,,,
,,,,,,,,,,,,
21,Louisville,24-8,0.6089,20.8,8.4,0.7123,0.5859 (20),0.5516,19,0.5745,18,14
22,Providence,22-11,0.6077,19.2,10.2,0.6531,0.6132 (5),0.5513,5,0.5926,,
23,Michigan St,23-11,0.607,21,11,0.6563,0.6123 (6),0.5471,7,0.5906,4,4
24,West Virginia,23-9,0.6042,20.2,8.2,0.7113,0.5718 (43),0.562,28,0.5685,,
25,Georgetown,21-10,0.6036,17.8,9.6,0.6496,0.6046 (12),0.5557,11,0.5883,,
26,San Diego St,25-8,0.6011,21.8,6.4,0.773,0.5556 (67),0.5202,76,0.5438,10,11
27,Oregon,24-9,0.5977,19.6,8.2,0.705,0.5702 (45),0.5454,41,0.5619,,
28,Buffalo,23-9,0.5968,22.6,7,0.7635,0.5610 (59),0.5015,78,0.5412,,
29,Colorado St,26-6,0.5959,23.6,4.8,0.831,0.5222 (108),0.5081,112,0.5175,,
30,Xavier,21-13,0.5948,17.8,11.4,0.6096,0.6071 (10),0.5555,8,0.5899,,
,,,,,,,,,,,,
,,,,,,,,,,,,
31,Butler,22-10,0.5932,19.6,9.6,0.6712,0.5727 (41),0.5564,30,0.5672,,
32,Dayton,25-8,0.592,20.6,5.6,0.7863,0.5263 (103),0.5293,93,0.5273,,
33,Stephen F. Austin,26-4,0.592,25.2,3.2,0.8873,0.4997 (154),0.4813,170,0.4935,,
34,Temple,23-10,0.5876,20.2,8.8,0.6966,0.5617 (56),0.5306,62,0.5513,,
35,Davidson,23-7,0.5866,21.4,6.2,0.7754,0.5194 (113),0.5321,103,0.5237,,
36,BYU,23-9,0.5848,21.4,9,0.7039,0.5561 (66),0.523,74,0.5451,,
37,Cincinnati,22-10,0.5828,18.4,8.8,0.6765,0.5632 (55),0.5284,60,0.5516,19,23
38,Georgia,21-11,0.582,19.4,11,0.6382,0.5727 (40),0.5442,39,0.5632,,
39,North Carolina St,20-13,0.5799,16.4,13.4,0.5503,0.6105 (7),0.5485,9,0.5898,,
40,Boise St,23-8,0.5798,21.8,6.4,0.773,0.5166 (118),0.5129,117,0.5154,,
,,,,RPI Data,,,,,SOS,,Polls,
Rank,School,W-L,RPI,W,L,Pct,OWP,OOWP,Rank,Rating,AP,USA
41,Ohio State,23-10,0.5798,17.4,8.4,0.6744,0.5495 (76),0.5457,69,0.5482,11,9
42,Texas,20-13,0.5787,16.4,12.2,0.5734,0.5921 (16),0.5572,16,0.5805,,
43,Iowa,21-11,0.5782,18.2,11.4,0.6149,0.5786 (29),0.5408,34,0.566,14,16
44,St. John's,20-11,0.5772,15.6,10.6,0.5954,0.5787 (28),0.5561,24,0.5712,,
45,Tulsa,22-9,0.5764,20.4,8.2,0.7133,0.5318 (93),0.5286,90,0.5307,,
46,Old Dominion,24-7,0.5759,19.2,5,0.7934,0.5042 (145),0.5016,146,0.5034,,
47,Wofford,26-6,0.5744,25.6,4.4,0.8533,0.4813 (205),0.4819,205,0.4815,,
48,UCLA,20-13,0.5719,14.4,10.2,0.5854,0.5797 (26),0.5429,29,0.5674,25,25
49,Oklahoma St,17-13,0.5716,13.8,11.4,0.5476,0.5877 (17),0.5634,17,0.5796,9,8
50,Valparaiso,25-5,0.5714,23.4,3.8,0.8603,0.4635 (256),0.4983,226,0.4751,,
,,,,,,,,,,,,
,,,,,,,,,,,,
51,Iona,26-8,0.5711,24.8,5.2,0.8267,0.4858 (187),0.4861,190,0.4859,,
52,Harvard,20-7,0.5697,19.6,6.2,0.7597,0.5095 (134),0.5002,137,0.5064,,
53,Georgia St,23-9,0.5695,21.8,6.2,0.7786,0.5085 (136),0.4823,150,0.4998,,
54,UW Green Bay,22-8,0.5679,20,6,0.7692,0.5025 (147),0.4973,149,0.5008,,
55,Purdue,21-12,0.5677,17,10.8,0.6115,0.5578 (62),0.5435,59,0.5531,,
56,Richmond,19-13,0.5661,15,10.6,0.5859,0.5774 (31),0.5236,47,0.5595,,
57,LSU,22-10,0.5658,20,10.4,0.6579,0.5309 (95),0.5434,86,0.535,,
58,Louisiana Tech,24-8,0.5657,21.2,5.2,0.803,0.4821 (202),0.4957,189,0.4866,,
59,Stanford,19-13,0.5655,15.4,11,0.5833,0.5675 (50),0.5437,46,0.5595,,
60,Mississippi,20-12,0.5654,19.6,13.2,0.5976,0.5652 (51),0.5335,52,0.5546,,
,,,,,,,,,,,,
,,,,,,,,,,,,
61,Indiana,20-13,0.5652,15.2,12.2,0.5547,0.5820 (25),0.5422,27,0.5687,,
62,Illinois St,20-12,0.5627,19.2,12,0.6154,0.5637 (54),0.5081,73,0.5452,,
63,Murray St,25-5,0.5627,24.6,5,0.8311,0.4720 (233),0.4757,234,0.4733,,
64,Yale,20-10,0.5623,21.6,8.8,0.7105,0.5222 (109),0.4944,122,0.5129,,
65,Miami (FL),21-12,0.5615,19.8,12.8,0.6074,0.5478 (77),0.5429,71,0.5462,,
66,Rhode Island,21-9,0.5609,19,8.2,0.6985,0.5052 (144),0.5347,119,0.515,,
67,Texas A&M,20-11,0.5599,16.8,9.8,0.6316,0.5322 (92),0.5435,84,0.536,,
68,St. Mary's,20-9,0.5595,17.6,9,0.6617,0.5298 (96),0.517,99,0.5255,,
69,Syracuse,18-13,0.5583,14.4,12.2,0.5414,0.5712 (44),0.5495,38,0.564,2,2
70,Central Michigan,20-8,0.5574,17.2,6,0.7414,0.4909 (173),0.5063,162,0.496,,
,,,,,,,,,,,,
,,,,,,,,,,,,
71,Wyoming,23-9,0.5572,19,7,0.7308,0.4949 (161),0.5082,152,0.4993,,
72,Florida,16-17,0.5572,12.4,15.4,0.446,0.6160 (4),0.5506,4,0.5942,7,7
73,Illinois,19-13,0.5558,14.2,10.6,0.5726,0.5497 (74),0.5513,65,0.5502,,
74,Eastern Washington,23-8,0.5557,23.4,6.4,0.7852,0.4809 (206),0.4757,212,0.4792,,
75,UC Davis,23-6,0.5555,22.2,4,0.8473,0.4390 (304),0.4968,282,0.4583,,
76,Pittsburgh,18-14,0.5541,13.2,11.6,0.5323,0.5689 (46),0.5464,43,0.5614,22,21
77,Connecticut,20-14,0.5528,16,13.2,0.5479,0.5639 (53),0.5357,53,0.5545,,
78,UTEP,22-10,0.5513,18.4,8.4,0.6866,0.5121 (129),0.4945,138,0.5062,,
79,Toledo,20-13,0.5511,19.6,12.2,0.6164,0.5411 (81),0.5059,91,0.5293,,
80,Michigan,15-16,0.5493,11.4,15.2,0.4286,0.6079 (9),0.5529,10,0.5896,,
,,,,RPI Data,,,,,SOS,,Polls,
Rank,School,W-L,RPI,W,L,Pct,OWP,OOWP,Rank,Rating,AP,USA
81,Massachusetts,17-15,0.5477,15,13.8,0.5208,0.5720 (42),0.5261,51,0.5567,16,15
82,Sam Houston,21-8,0.5462,19.8,6.4,0.7557,0.4822 (201),0.4649,221,0.4764,,
83,Memphis,18-14,0.5437,15.2,14.4,0.5135,0.5728 (38),0.5159,56,0.5538,17,17
84,George Washington,21-12,0.5437,17.8,9.2,0.6593,0.4931 (167),0.5294,142,0.5052,,
85,Alabama,17-14,0.5436,13.8,13.2,0.5111,0.5597 (61),0.5438,55,0.5544,,
86,Northeastern,23-11,0.5434,22.6,9.4,0.7063,0.4871 (183),0.493,180,0.4891,,
87,UC Santa Barbara,17-13,0.5425,14.6,10.2,0.5887,0.5400 (83),0.5013,96,0.5271,,
88,UC Irvine,19-12,0.5421,18.2,9.6,0.6547,0.5059 (141),0.5018,143,0.5046,,
89,High Point,19-9,0.5419,19.4,7.4,0.7239,0.4850 (190),0.4735,206,0.4812,,
90,South Dakota St,21-10,0.5396,19,6.8,0.7364,0.4737 (227),0.4746,230,0.474,,
,,,,,,,,,,,,
,,,,,,,,,,,,
91,South Carolina,16-16,0.5395,13.6,15.6,0.4658,0.5727 (39),0.5468,37,0.5641,,
92,North Dakota St,21-9,0.5392,18.2,5.8,0.7583,0.4595 (267),0.4797,260,0.4662,,
93,William & Mary,18-12,0.5391,16.4,9.2,0.6406,0.5148 (124),0.4862,141,0.5053,,
94,Kent St,20-11,0.5387,18.8,10.2,0.6483,0.5006 (152),0.5052,147,0.5022,,
95,California,18-15,0.5374,15.6,15.4,0.5032,0.5564 (65),0.5334,68,0.5487,,
96,Tennessee,16-16,0.5362,14.4,16.8,0.4615,0.5676 (49),0.5479,44,0.561,,
97,Seton Hall,16-15,0.5359,13.2,13.4,0.4962,0.5478 (78),0.5517,67,0.5491,,
98,Minnesota,17-15,0.5358,13.4,13.8,0.4926,0.5528 (73),0.5448,66,0.5501,,
99,Albany,24-8,0.5352,24,7.2,0.7692,0.4493 (286),0.4731,287,0.4572,,
100,Kansas St,15-17,0.5346,10.2,14.6,0.4113,0.5868 (19),0.5537,18,0.5757,,
,,,,,,,,,,,,
,,,,,,,,,,,,
101,La Salle,17-16,0.5344,15.4,15.2,0.5033,0.5575 (63),0.5191,75,0.5447,,
102,Arizona St,17-15,0.5338,11.8,12.6,0.4836,0.5568 (64),0.5378,64,0.5505,,
103,New Mexico St,21-10,0.5333,18.2,7.6,0.7054,0.4814 (204),0.465,223,0.4759,,
104,Vanderbilt,18-13,0.5328,14.4,11.8,0.5496,0.5164 (119),0.5487,95,0.5272,,
105,Belmont,21-10,0.5324,19.4,7.6,0.7185,0.4647 (251),0.4815,247,0.4703,,
106,Clemson,16-15,0.5317,12.8,14.6,0.4672,0.5551 (69),0.5496,57,0.5532,,
107,Stony Brook,21-11,0.5315,20.2,8.2,0.7113,0.4694 (241),0.4759,241,0.4716,,
108,Penn State,18-16,0.5299,15.2,15.2,0.5,0.5381 (85),0.5435,79,0.5399,,
109,Bowling Green,20-10,0.5289,19.2,9.6,0.6667,0.4703 (239),0.5085,198,0.483,,
110,Florida St,17-16,0.5286,13.4,15.6,0.4621,0.5537 (72),0.5449,63,0.5508,,
,,,,,,,,,,,,
,,,,,,,,,,,,
111,Long Beach,14-17,0.5282,12.4,12.6,0.496,0.5473 (79),0.5224,80,0.539,,
112,Chattanooga,20-10,0.5278,17.6,8,0.6875,0.4744 (224),0.4751,228,0.4746,,
113,Georgia So,19-9,0.5272,18.2,7.4,0.7109,0.4602 (263),0.4775,263,0.466,,
114,UNLV,17-15,0.527,13.4,13.8,0.4926,0.5497 (75),0.5161,81,0.5385,,
115,Akron,20-14,0.5265,15.2,11.6,0.5672,0.5163 (120),0.5065,121,0.513,,
116,Colorado,15-17,0.5263,11.4,15,0.4318,0.5683 (48),0.5369,48,0.5578,21,22
117,Western Kentucky,18-12,0.5259,15.6,10,0.6094,0.4988 (155),0.4967,155,0.4981,,
118,Texas Southern,22-12,0.5251,22.4,8,0.7368,0.4493 (287),0.4652,293,0.4546,,
119,Evansville,18-12,0.5247,16.4,12,0.5775,0.5073 (139),0.5067,131,0.5071,,
120,Western Michigan,18-13,0.5245,15.6,10.2,0.6047,0.4899 (178),0.5136,157,0.4978,,
,,,,RPI Data,,,,,SOS,,Polls,
Rank,School,W-L,RPI,W,L,Pct,OWP,OOWP,Rank,Rating,AP,USA
121,St. Bonaventure,18-13,0.5241,17.2,13,0.5695,0.5023 (150),0.5224,128,0.509,,
122,Lafayette,19-12,0.5228,18.6,11.2,0.6242,0.4875 (182),0.492,181,0.489,,
123,Loyola (Chicago),17-13,0.5224,17,13,0.5667,0.5076 (138),0.5076,130,0.5076,,
124,Northwestern,15-17,0.5216,11.8,16.6,0.4155,0.5649 (52),0.5409,50,0.5569,,
125,Washington,16-15,0.5213,14,15,0.4828,0.5352 (90),0.5321,87,0.5342,,
126,Cleveland St,16-14,0.5212,14,10.8,0.5645,0.5104 (132),0.4994,135,0.5067,,
127,NCCU,22-7,0.5209,22,4.6,0.8271,0.3985 (348),0.4597,345,0.4189,,
