2017-2018 RPI,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Records reflect games against Division I opponents only.,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Click on team name for schedule and results. Clickable column headings will sort by that column.,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
"Last updated Thu Nov 8 2018, 9:56 AM",,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,RPI Data,,,,,SOS,,Polls,,,
Rank,School,W-L,RPI,W,L,Pct,OWP,OOWP,Rank,Rating,AP,USA,,
1,Virginia,31-2,0.6784,28.6,2,0.9346,0.6078 (8),0.5633,6,0.593,,,,
2,Villanova,30-4,0.6663,28.8,3.2,0.9,0.6034 (12),0.5585,11,0.5884,,,,
3,Xavier,28-5,0.6526,25.2,4.6,0.8456,0.6013 (16),0.5623,12,0.5883,,,,
4,North Carolina,25-10,0.6451,23,9.2,0.7143,0.6505 (1),0.5654,1,0.6221,11,11,,
5,Kansas,27-7,0.6447,24.2,7.4,0.7658,0.6269 (2),0.559,2,0.6043,7,7,,
6,Cincinnati,30-4,0.6425,27.6,3.6,0.8846,0.5743 (42),0.5368,45,0.5618,24,24,,
7,Duke,26-7,0.6398,22.4,5.4,0.8058,0.5987 (17),0.556,16,0.5845,9,9,,
8,Tennessee,25-8,0.6282,23,7.2,0.7616,0.5923 (22),0.5668,18,0.5838,,,,
9,Purdue,28-6,0.6275,24.8,5.6,0.8158,0.5748 (41),0.5447,41,0.5647,,,,
10,Kentucky,24-10,0.622,19.2,8.4,0.6957,0.6145 (4),0.5634,4,0.5975,3,3,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
11,Clemson,23-9,0.6217,18.6,7,0.7266,0.6031 (13),0.554,14,0.5867,,,,
12,Michigan,27-7,0.621,23.4,5.4,0.8125,0.5653 (53),0.5408,56,0.5571,5,5,,
13,Arizona,27-7,0.6191,24.2,6.2,0.7961,0.5628 (61),0.5545,51,0.5601,12,12,,
14,Michigan St,29-4,0.6186,25.8,4,0.8658,0.5315 (101),0.5456,85,0.5362,21,22,,
15,Auburn,25-7,0.6185,21.8,5.8,0.7899,0.5636 (59),0.5569,47,0.5614,,,,
16,Wichita St,25-7,0.6184,23.4,7.4,0.7597,0.5840 (29),0.546,29,0.5713,,,,
17,Nevada,27-7,0.6166,26.2,6.2,0.8086,0.5691 (47),0.5196,61,0.5526,,,,
18,Houston,26-7,0.6149,22.8,5,0.8201,0.5526 (73),0.5342,72,0.5465,,,,
19,Rhode Island,25-7,0.6129,21.8,5.8,0.7899,0.5686 (48),0.5247,59,0.554,,,,
20,Ohio State,24-8,0.6069,20,8,0.7143,0.5858 (27),0.5415,30,0.5711,4,4,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
21,Gonzaga,30-4,0.6047,28,4,0.875,0.5152 (127),0.5134,125,0.5146,19,19,,
22,Loyola (Chicago),27-5,0.6016,25.4,3.8,0.8699,0.5103 (135),0.5159,127,0.5122,,,,
23,Texas Tech,24-9,0.6013,18.8,7,0.7287,0.5621 (63),0.5523,53,0.5589,,,,
24,St. Bonaventure,25-7,0.6002,23.4,5.8,0.8014,0.5410 (87),0.5172,89,0.5331,,,,
25,Buffalo,25-8,0.5998,23,6.4,0.7823,0.5548 (69),0.5072,83,0.539,,,,
26,TCU,21-11,0.5998,16.2,9.4,0.6328,0.6074 (9),0.5514,10,0.5887,,,,
27,West Virginia,24-10,0.5986,20.4,9.2,0.6892,0.5734 (43),0.5583,37,0.5684,,,,
28,Miami (FL),22-9,0.5972,20.8,8.6,0.7075,0.5686 (49),0.5441,50,0.5604,,,,
29,Texas A&M,20-12,0.5961,16.4,10.4,0.6119,0.6057 (11),0.561,7,0.5908,,,,
30,Arkansas,23-11,0.5947,18.2,9,0.6691,0.5717 (45),0.5663,35,0.5699,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
31,Seton Hall,21-11,0.5917,17.4,9.8,0.6397,0.5852 (28),0.5568,23,0.5757,,,,
32,Providence,21-13,0.5917,17.4,11.8,0.5959,0.6095 (6),0.5517,8,0.5902,,,,
33,Middle Tenn St,23-7,0.5897,23.8,7.4,0.7628,0.5458 (79),0.5044,90,0.532,,,,
34,Southern California,23-11,0.5896,20.6,10.6,0.6603,0.5779 (36),0.5424,39,0.5661,,,,
35,New Mexico St,25-5,0.5838,23.8,4.2,0.85,0.4907 (182),0.5038,167,0.495,,,,
36,UCLA,21-11,0.5828,16.6,9,0.6484,0.5659 (52),0.551,48,0.561,13,14,,
37,South Dakota St,24-6,0.5817,22.8,4.4,0.8382,0.4917 (177),0.5053,162,0.4962,,,,
38,Louisville,20-13,0.5811,16,12.2,0.5674,0.6025 (14),0.5519,15,0.5856,2,2,,
39,Western Kentucky,23-10,0.5807,21,9.2,0.6954,0.5637 (58),0.4998,80,0.5424,,,,
40,St. Mary's,28-5,0.5802,25.6,5,0.8366,0.4860 (195),0.5121,169,0.4947,,,,
,,,,RPI Data,,,,,SOS,,Polls,,,
Rank,School,W-L,RPI,W,L,Pct,OWP,OOWP,Rank,Rating,AP,USA,,
41,Butler,20-13,0.5801,15.6,11.4,0.5778,0.5932 (20),0.5563,21,0.5809,,,,
42,Alabama,19-15,0.5791,15,13.8,0.5208,0.6190 (3),0.5577,3,0.5985,,,,
43,Missouri,19-12,0.5777,16.2,10.8,0.6,0.5757 (39),0.5594,34,0.5703,14,15,,
44,Creighton,20-11,0.5777,15.6,9,0.6341,0.5631 (60),0.5504,52,0.5589,15,13,,
45,Syracuse,20-13,0.5777,16,12.6,0.5594,0.5965 (18),0.5582,19,0.5838,8,8,,
46,Florida,20-12,0.5769,17.2,12.4,0.5811,0.5812 (31),0.5641,24,0.5755,10,10,,
47,Davidson,21-11,0.5753,19,8.6,0.6884,0.5453 (80),0.5221,84,0.5376,,,,
48,Murray St,24-5,0.5751,23.2,4.6,0.8345,0.4910 (179),0.4837,193,0.4886,,,,
49,Oklahoma,18-13,0.5729,13.6,10.2,0.5714,0.5806 (32),0.5588,26,0.5733,,,,
50,Boise St,22-8,0.5725,18.8,6.4,0.746,0.5114 (133),0.5214,124,0.5147,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
51,Texas,19-14,0.5724,15.4,12.8,0.5461,0.5929 (21),0.5576,20,0.5812,,25,,
52,Temple,17-15,0.5719,15.4,13.8,0.5274,0.6071 (10),0.5459,13,0.5867,,,,
53,Kansas St,22-11,0.5714,18.8,10.6,0.6395,0.5423 (83),0.5614,65,0.5487,,,,
54,Florida St,20-11,0.5702,16.4,9,0.6457,0.5402 (89),0.5548,76,0.545,,,,
55,Northeastern,22-10,0.57,21.2,8.8,0.7067,0.5346 (93),0.5042,102,0.5245,,,,
56,Nebraska,22-10,0.5699,17.2,7.6,0.6935,0.5242 (114),0.5377,95,0.5287,,,,
57,Coll of Charleston,24-7,0.5691,21.6,4.6,0.8244,0.4744 (217),0.5031,199,0.484,,,,
58,Marquette,19-13,0.5687,16.6,13.4,0.5533,0.5819 (30),0.5575,25,0.5738,,,,
59,Utah,19-11,0.5685,16.2,9.8,0.6231,0.5542 (71),0.5426,62,0.5504,,,,
60,Vermont,26-7,0.567,26.4,6.2,0.8098,0.4881 (189),0.482,195,0.4861,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
61,Virginia Tech,21-11,0.5668,17.8,10.6,0.6268,0.5444 (82),0.5514,71,0.5467,,,,
62,San Diego St,21-10,0.5666,17.8,8,0.6899,0.5273 (106),0.5217,101,0.5254,25,23,,
63,UL Lafayette,25-6,0.5662,24.2,5.2,0.8231,0.4753 (213),0.4912,210,0.4806,,,,
64,North Carolina St,21-11,0.565,16.2,10.2,0.6136,0.5496 (76),0.5472,64,0.5488,6,6,,
65,UNC Greensboro,24-7,0.5645,22,5,0.8148,0.4750 (215),0.4931,206,0.481,,,,
66,Arizona St,20-11,0.5637,16.4,10.2,0.6165,0.5411 (86),0.5561,75,0.5461,,,,
67,BYU,24-10,0.5629,21.6,9.2,0.7013,0.5247 (112),0.5008,117,0.5168,,,,
68,Baylor,17-14,0.5627,12.6,12,0.5122,0.5962 (19),0.546,22,0.5795,16,17,,
69,Rider,22-9,0.5623,20.4,6.6,0.7556,0.5035 (148),0.4869,154,0.4979,,,,
70,Notre Dame,19-14,0.5619,17,13.2,0.5629,0.5662 (50),0.5522,46,0.5615,20,21,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
71,Washington,20-12,0.5614,16,11.6,0.5797,0.5651 (55),0.5359,57,0.5553,,,,
72,Oregon,22-12,0.5612,17.6,10.8,0.6197,0.5452 (81),0.5349,81,0.5417,,,,
73,Mississippi St,21-11,0.5595,15,8.6,0.6356,0.5272 (107),0.5481,87,0.5341,,,,
74,Maryland,18-13,0.5587,13.2,11,0.5455,0.5782 (35),0.5329,43,0.5631,,,,
75,Toledo,22-11,0.5584,21.2,10.2,0.6752,0.5294 (103),0.4997,114,0.5195,,,,
76,Montana,24-7,0.5576,22.4,4.6,0.8296,0.4526 (275),0.4955,251,0.4669,,,,
77,Penn State,21-13,0.5572,17,11.8,0.5903,0.5535 (72),0.5318,74,0.5462,,,,
78,Old Dominion,25-7,0.5571,24.2,6.6,0.7857,0.4706 (228),0.5014,207,0.4809,,,,
79,Georgia,18-15,0.5569,15.2,13,0.539,0.5660 (51),0.5564,44,0.5628,,,,
80,Bucknell,25-9,0.5565,23,6.2,0.7877,0.4776 (208),0.483,216,0.4794,,,,
,,,,RPI Data,,,,,SOS,,Polls,,,
Rank,School,W-L,RPI,W,L,Pct,OWP,OOWP,Rank,Rating,AP,USA,,
81,Belmont,24-9,0.5561,22,7.4,0.7483,0.4907 (181),0.4947,179,0.492,,,,
82,Colorado,17-15,0.5549,12.6,12.2,0.5081,0.5860 (26),0.5394,33,0.5705,,,,
83,Utah Valley,19-10,0.554,16.6,7.2,0.6975,0.5126 (130),0.4935,134,0.5062,,,,
84,UCF,19-13,0.5539,16.2,12.2,0.5704,0.5564 (67),0.5324,67,0.5484,,,,
85,Illinois St,17-15,0.5527,14.2,12.2,0.5379,0.5768 (37),0.5194,55,0.5576,,,,
86,Stanford,18-15,0.5524,14.4,14.2,0.5035,0.5783 (34),0.5493,36,0.5686,,,,
87,Marshall,23-10,0.5522,19.8,7.6,0.7226,0.4963 (162),0.4937,165,0.4954,,,,
88,Oklahoma St,19-14,0.5517,15,13.2,0.5319,0.5578 (65),0.5591,54,0.5583,,,,
89,Tulsa,19-12,0.5516,15.8,10,0.6124,0.5325 (98),0.529,91,0.5314,,,,
90,South Carolina,16-16,0.5512,14,14.8,0.4861,0.5802 (33),0.5582,27,0.5729,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
91,South Dakota,22-8,0.5485,22,6.4,0.7746,0.4622 (250),0.4951,227,0.4731,,,,
92,East Tenn St,23-9,0.5475,23.4,9,0.7222,0.4902 (184),0.4873,190,0.4892,,,,
93,William & Mary,17-12,0.5471,16.2,10,0.6183,0.5345 (94),0.501,105,0.5233,,,,
94,LSU,17-14,0.5464,13,12.8,0.5039,0.5652 (54),0.5513,49,0.5605,,,,
95,Boston College,19-15,0.5453,14.2,12.2,0.5379,0.5502 (74),0.5431,69,0.5478,,,,
96,St. John's,15-17,0.545,12.2,17.4,0.4122,0.6087 (7),0.5503,9,0.5892,,,,
97,Furman,21-10,0.5428,19.4,8.8,0.6879,0.4944 (168),0.4945,170,0.4944,,,,
98,Wyoming,19-13,0.542,16.6,11.8,0.5845,0.5331 (97),0.5172,98,0.5278,,,,
99,Wright St,23-9,0.5412,21.4,7,0.7535,0.4670 (236),0.4771,238,0.4704,,,,
100,Southern Illinois,19-13,0.5403,16.2,11,0.5956,0.5282 (104),0.5091,108,0.5218,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
101,Lipscomb,20-9,0.5388,20,7,0.7407,0.4696 (230),0.4751,232,0.4715,,,,
102,UC Davis,20-10,0.5387,20.4,8.4,0.7083,0.4769 (210),0.4929,203,0.4822,,,,
103,Fresno St,19-11,0.5372,18.2,11.4,0.6149,0.5114 (132),0.5111,128,0.5113,,,,
104,Stephen F. Austin,24-6,0.5358,22.8,4.4,0.8382,0.4220 (329),0.4611,329,0.435,,,,
105,Bradley,19-13,0.5343,15.8,10.2,0.6077,0.5089 (138),0.512,129,0.5099,,,,
106,Memphis,21-13,0.5333,17.4,13,0.5724,0.5171 (123),0.5265,112,0.5202,17,16,,
107,Iona,20-13,0.5323,19.6,11,0.6405,0.5015 (151),0.4858,161,0.4962,,,,
108,UT Arlington,20-13,0.5317,17.2,9.8,0.637,0.5041 (146),0.4817,160,0.4966,,,,
109,Wagner,21-9,0.5307,18.2,6.2,0.7459,0.4579 (265),0.4612,275,0.459,,,,
110,Northern Colorado,19-12,0.5301,18.2,10,0.6454,0.4981 (156),0.4786,181,0.4916,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
111,UMBC,21-10,0.5299,19.8,8,0.7122,0.4679 (234),0.4716,244,0.4692,,,,
112,SMU,17-16,0.5299,12.6,14.8,0.4599,0.5647 (57),0.5304,60,0.5533,,,,
113,Wisconsin,15-18,0.5298,11.8,17.6,0.4014,0.5886 (23),0.5407,28,0.5726,22,20,,
114,Northern Kentucky,20-9,0.5293,19.2,7.8,0.7111,0.4658 (239),0.4745,246,0.4687,,,,
115,Pennsylvania,23-8,0.5291,21.8,7.6,0.7415,0.4452 (293),0.4843,278,0.4582,,,,
116,Eastern Michigan,17-12,0.529,16.2,10,0.6183,0.4981 (156),0.5015,151,0.4993,,,,
117,Harvard,17-13,0.5287,15.8,9,0.6371,0.5013 (152),0.4751,177,0.4926,,,,
118,New Mexico,18-15,0.528,14.8,13.4,0.5248,0.5343 (96),0.5185,93,0.5291,,,,
119,UC Irvine,16-17,0.5276,16.8,15,0.5283,0.5499 (75),0.4822,99,0.5273,,,,
120,Georgia St,22-10,0.5262,22,8.8,0.7143,0.4541 (272),0.4823,263,0.4635,,,,
,,,,RPI Data,,,,,SOS,,Polls,,,
Rank,School,W-L,RPI,W,L,Pct,OWP,OOWP,Rank,Rating,AP,USA,,
121,Hofstra,18-12,0.5253,18.4,12,0.6053,0.4923 (175),0.5114,152,0.4987,,,,
122,Eastern Washington,18-14,0.5251,16.8,10,0.6269,0.4928 (173),0.4881,183,0.4912,,,,
123,Connecticut,14-18,0.525,10.4,16.4,0.3881,0.5863 (25),0.5395,32,0.5707,23,,,
124,Canisius,21-11,0.5241,19.8,8.6,0.6972,0.4579 (264),0.4833,252,0.4664,,,,
125,Indiana,16-15,0.5237,12.4,14.2,0.4662,0.5463 (78),0.5362,79,0.5429,1,1,,
126,Ball State,18-13,0.5232,14.8,9.8,0.6016,0.4915 (178),0.5083,159,0.4971,,,,
127,UC Santa Barbara,21-9,0.522,20.6,7.4,0.7357,0.4273 (322),0.4977,306,0.4508,,,,
128,Radford,20-12,0.5217,19.2,8.8,0.6857,0.4628 (246),0.4756,249,0.4671,,,,
129,Wofford,18-12,0.5216,17.2,10.8,0.6143,0.4863 (193),0.4993,185,0.4906,,,,
130,UNC Asheville,19-12,0.5211,17,9.6,0.6391,0.4849 (198),0.4757,204,0.4818,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
131,CS Fullerton,18-11,0.5206,17.6,9.8,0.6423,0.4715 (224),0.4971,211,0.48,,,,
132,Vanderbilt,20-Dec,0.5205,8,18.8,0.2985,0.6142 (5),0.5552,5,0.5945,,,,
133,Idaho,20-9,0.5204,20,8.2,0.7092,0.4381 (309),0.496,283,0.4574,,,,
134,UNLV,20-13,0.5187,17.6,13.4,0.5677,0.4962 (163),0.5147,147,0.5023,18,18,,
135,VCU,18-15,0.5186,15.6,15.8,0.4968,0.5275 (105),0.5225,100,0.5258,,,,
136,Missouri St,17-15,0.5175,15,13.8,0.5208,0.5209 (118),0.5076,118,0.5164,,,,
137,Oregon St,16-16,0.5167,11.2,14,0.4444,0.5415 (85),0.5393,82,0.5408,,,,
138,Northern Iowa,14-16,0.5163,10.4,14,0.4262,0.5549 (68),0.5292,73,0.5463,,,,
139,San Francisco,17-15,0.5155,14.2,14.6,0.4931,0.5350 (92),0.4991,106,0.523,,,,
140,Georgia So,19-12,0.5145,19,10.4,0.6463,0.4618 (251),0.4881,236,0.4706,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
141,Mississippi,20-Dec,0.5141,8.4,19.2,0.3043,0.6020 (15),0.5481,17,0.584,,,,
142,Albany,21-10,0.5138,19,8.4,0.6934,0.4421 (299),0.4776,292,0.4539,,,,
143,San Diego,17-13,0.5133,16.6,13,0.5608,0.4959 (165),0.5005,156,0.4974,,,,
144,Iowa State,13-18,0.5133,9.4,16.8,0.3588,0.5721 (44),0.5501,40,0.5648,,,,
145,Nicholls St,17-11,0.5131,17,9.4,0.6439,0.4753 (212),0.458,243,0.4695,,,,
146,Saint Joseph's,16-16,0.5123,13.6,13.6,0.5,0.5149 (128),0.5194,119,0.5164,,,,
147,Dayton,14-17,0.5107,9.6,14.6,0.3967,0.5697 (46),0.5065,66,0.5487,,,,
148,Saint Louis,16-16,0.5105,12.8,15.2,0.4571,0.5320 (99),0.5207,96,0.5282,,,,
149,Jacksonville St,20-12,0.5102,18.4,10.8,0.6301,0.4629 (245),0.485,239,0.4702,,,,
150,SE Louisiana,19-11,0.5097,20.2,9.4,0.6824,0.4485 (285),0.4595,303,0.4522,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
151,Evansville,15-15,0.509,11,12.2,0.4741,0.5256 (109),0.5108,109,0.5206,,,,
152,Utah St,16-17,0.5089,12.8,14.2,0.4741,0.5256 (110),0.5102,110,0.5204,,,,
153,Towson,16-14,0.5086,14.8,12,0.5522,0.4947 (166),0.4927,172,0.494,,,,
154,Kent St,16-17,0.5085,12,13.8,0.4651,0.5345 (95),0.5,107,0.523,,,,
155,UAB,18-13,0.5082,15.2,11.8,0.563,0.4859 (196),0.4981,187,0.4899,,,,
156,Grand Canyon,21-11,0.5069,16.2,9,0.6429,0.4480 (288),0.4889,270,0.4616,,,,
157,Iowa,14-19,0.5062,10.8,17.4,0.383,0.5570 (66),0.5278,70,0.5473,,,,
158,Tennessee Tech,17-14,0.5046,15.4,11.2,0.5789,0.4748 (216),0.4899,213,0.4799,,,,
159,Miami (OH),14-17,0.5044,13.6,15,0.4755,0.5180 (122),0.5062,126,0.514,,,,
160,Wake Forest,20-Nov,0.5044,9.4,20.4,0.3154,0.5765 (38),0.5491,38,0.5674,,,,
,,,,RPI Data,,,,,SOS,,Polls,,,
Rank,School,W-L,RPI,W,L,Pct,OWP,OOWP,Rank,Rating,AP,USA,,
161,Georgia Tech,13-19,0.504,8.6,17.8,0.3258,0.5756 (40),0.5391,42,0.5635,,,,
162,Weber St,17-11,0.504,16.2,10.6,0.6045,0.4624 (248),0.4868,237,0.4705,,,,
163,Niagara,19-13,0.5038,19.4,13,0.5988,0.4680 (233),0.4803,230,0.4721,,,,
164,Austin Peay,16-14,0.5034,14,12,0.5385,0.4917 (176),0.492,180,0.4918,,,,
165,Georgetown,15-15,0.5034,12.2,15.4,0.442,0.5160 (126),0.5396,104,0.5239,,,,
166,Seattle,17-13,0.5025,12.6,9.8,0.5625,0.4766 (211),0.4941,202,0.4825,,,,
167,Drake,15-16,0.5023,13,13.2,0.4962,0.4947 (167),0.5236,137,0.5043,,,,
168,Central Michigan,16-14,0.502,14.4,12.8,0.5294,0.4887 (185),0.5011,176,0.4928,,,,
169,Northwestern,14-17,0.5019,11.2,15.8,0.4148,0.5271 (108),0.5386,92,0.531,,,,
170,Portland St,17-13,0.5016,19,13,0.5938,0.4593 (259),0.4941,233,0.4709,,,,
,,,,,,,,,,,,,,
