2018-2019 RPI,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Records reflect games against Division I opponents only.,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Click on team name for schedule and results. Clickable column headings will sort by that column.,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
"Last updated Mon Jan 27 2020, 2:12 PM",,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,RPI Data,,,,,SOS,,Polls,,,
Rank,School,W-L,RPI,W,L,Pct,OWP,OOWP,Rank,Rating,AP,USA,,
1,Duke,29-5,0.6702,25.8,5,0.8377,0.6394 (2),0.5641,2,0.6143,9,9,,
2,Kansas,25-9,0.6565,19.4,5.8,0.7698,0.6434 (1),0.5693,1,0.6187,7,7,,
3,Virginia,29-3,0.6554,27,3,0.9,0.5835 (26),0.5544,24,0.5738,,,,
4,North Carolina,27-6,0.653,25.8,6.4,0.8012,0.6235 (4),0.5639,3,0.6036,11,11,,
5,Houston,31-3,0.6479,27.8,3,0.9026,0.5785 (32),0.532,42,0.563,,,,
6,Michigan St,28-6,0.6468,25.2,4.8,0.84,0.5939 (13),0.5596,12,0.5824,21,22,,
7,Tennessee,28-5,0.6446,24,3.8,0.8633,0.5746 (42),0.5659,28,0.5717,,,,
8,Gonzaga,30-3,0.6443,26.8,2.6,0.9116,0.5663 (52),0.5331,58,0.5553,19,19,,
9,Kentucky,27-6,0.6426,23.4,5.6,0.8069,0.5999 (11),0.5638,9,0.5879,3,3,,
10,Buffalo,30-3,0.6409,29.6,1.8,0.9427,0.5482 (76),0.5245,79,0.5403,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
11,Michigan,28-6,0.6354,24,4.8,0.8333,0.5755 (39),0.5573,31,0.5695,5,5,,
12,Florida St,27-7,0.6345,23.4,5.8,0.8014,0.5891 (19),0.5583,14,0.5789,,,,
13,Cincinnati,28-6,0.628,24.4,5.2,0.8243,0.5767 (36),0.5341,43,0.5625,24,24,,
14,LSU,26-6,0.6255,23.6,6.4,0.7867,0.5814 (27),0.5527,26,0.5718,,,,
15,Villanova,25-9,0.6224,21.8,7,0.7569,0.5917 (14),0.5492,20,0.5775,,,,
16,Purdue,23-9,0.6199,19.4,6.6,0.7462,0.5888 (21),0.5557,19,0.5778,,,,
17,Kansas St,25-8,0.6187,22.2,6.8,0.7655,0.5718 (44),0.5657,30,0.5698,,,,
18,Auburn,25-9,0.6187,21,7.4,0.7394,0.5907 (17),0.554,15,0.5785,,,,
19,Texas Tech,26-6,0.6187,21.6,5.2,0.806,0.5568 (65),0.5552,55,0.5563,,,,
20,Nevada,29-4,0.6151,26.6,2.8,0.9048,0.5220 (116),0.5118,111,0.5186,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
21,Wofford,26-4,0.6127,25.6,3.2,0.8889,0.5243 (113),0.5131,104,0.5206,,,,
22,Washington,26-8,0.6092,22.8,6.8,0.7703,0.5678 (48),0.5309,57,0.5555,,,,
23,VCU,25-7,0.6086,21.8,5.8,0.7899,0.5661 (53),0.5123,65,0.5482,,,,
24,Mississippi St,23-10,0.6084,19.4,9.2,0.6783,0.6010 (10),0.5532,11,0.5851,,,,
25,UCF,23-8,0.6083,19,6.4,0.748,0.5761 (37),0.5329,44,0.5617,,,,
26,Wisconsin,23-10,0.6051,21.4,9.2,0.6993,0.5863 (24),0.5483,25,0.5736,22,20,,
27,Virginia Tech,24-8,0.6051,20.4,6.8,0.75,0.5633 (55),0.5436,53,0.5567,,,,
28,Utah St,27-6,0.6039,25.4,4.8,0.8411,0.5347 (97),0.5052,101,0.5249,,,,
29,Maryland,22-10,0.6017,18.4,9.2,0.6667,0.5957 (12),0.5489,13,0.5801,,,,
30,Marquette,24-9,0.6001,20.4,8.6,0.7034,0.5772 (35),0.5425,38,0.5656,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
31,UNC Greensboro,26-6,0.5997,25.6,4.8,0.8421,0.5290 (103),0.4986,110,0.5189,,,,
32,Iowa State,23-11,0.5997,20.2,10.2,0.6645,0.5890 (20),0.5561,18,0.578,,,,
33,Louisville,20-13,0.5935,16.4,12.2,0.5734,0.6262 (3),0.5482,4,0.6002,2,2,,
34,Temple,23-9,0.5879,21,7.8,0.7292,0.5407 (84),0.5411,78,0.5409,,,,
35,St. Mary's,22-11,0.5866,18.4,10.2,0.6434,0.5905 (18),0.5221,36,0.5677,,,,
36,New Mexico St,28-4,0.5835,26.4,3.6,0.88,0.4743 (228),0.5053,208,0.4846,,,,
37,Murray St,25-4,0.5815,23.8,3.2,0.8815,0.4823 (210),0.4801,220,0.4816,,,,
38,Syracuse,20-13,0.581,17.2,13.8,0.5548,0.6074 (8),0.5544,8,0.5898,8,8,,
39,Oklahoma,19-13,0.5799,16.6,11.8,0.5845,0.5811 (28),0.5729,16,0.5784,,,,
40,Seton Hall,20-13,0.5799,16.8,11.4,0.5957,0.5866 (23),0.5504,23,0.5746,,,,
,,,,RPI Data,,,,,SOS,,Polls,,,
Rank,School,W-L,RPI,W,L,Pct,OWP,OOWP,Rank,Rating,AP,USA,,
41,Minnesota,21-13,0.5789,16.6,10.6,0.6103,0.5749 (40),0.5553,34,0.5684,,,,
42,Toledo,24-7,0.5789,22,6.2,0.7801,0.5112 (130),0.5128,124,0.5118,,,,
43,Belmont,25-5,0.5787,25,4.2,0.8562,0.4861 (195),0.4866,199,0.4863,,,,
44,Arizona St,22-10,0.5785,19.2,9.2,0.6761,0.5517 (71),0.5345,70,0.546,,,,
45,Yale,21-7,0.5757,19.8,5.8,0.7734,0.5095 (134),0.5104,132,0.5098,,,,
46,Oregon,23-12,0.575,19.8,10.8,0.6471,0.5623 (56),0.5284,61,0.551,,,,
47,Georgia St,23-9,0.5747,21,6.6,0.7609,0.5183 (117),0.5015,122,0.5127,,,,
48,Northeastern,23-10,0.5743,21.8,8.4,0.7219,0.5363 (94),0.5029,100,0.5252,,,,
49,Harvard,17-11,0.5719,16.6,8.2,0.6694,0.5552 (66),0.5077,81,0.5394,,,,
50,Davidson,23-9,0.5712,20.6,7.4,0.7357,0.5145 (125),0.5203,116,0.5164,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
51,Hofstra,26-7,0.5703,24.4,5.4,0.8188,0.4856 (198),0.4913,197,0.4875,,,,
52,TCU,20-13,0.5691,16.4,12.2,0.5734,0.5711 (45),0.5607,37,0.5677,,,,
53,Iowa,22-11,0.5668,18,10.2,0.6383,0.5400 (85),0.5489,74,0.5429,,,,
54,Alabama,18-15,0.5665,15.6,13.8,0.5306,0.5913 (15),0.5527,17,0.5784,,,,
55,Furman,22-7,0.5659,22.4,6.2,0.7832,0.4891 (189),0.5022,180,0.4935,,,,
56,Baylor,19-13,0.5654,15.8,12.6,0.5563,0.5777 (34),0.5498,33,0.5684,16,17,,
57,Florida,19-15,0.5653,17.4,15,0.537,0.5804 (29),0.5633,22,0.5747,10,10,,
58,Memphis,21-13,0.5646,15.4,11.4,0.5746,0.5746 (41),0.5347,46,0.5613,17,16,,
59,Utah Valley,22-9,0.5638,20.8,6.6,0.7591,0.4993 (162),0.4976,163,0.4987,,,,
60,Clemson,19-13,0.563,15.4,12.2,0.558,0.5741 (43),0.5458,41,0.5647,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
61,Creighton,17-14,0.5619,14.6,13.6,0.5177,0.5912 (16),0.5476,21,0.5766,15,13,,
62,Old Dominion,26-8,0.5619,23.6,7.2,0.7662,0.4865 (192),0.5083,179,0.4938,,,,
63,UC Irvine,29-5,0.5615,29.8,5,0.8563,0.4476 (283),0.4942,262,0.4632,,,,
64,Vermont,26-6,0.5614,24.4,5.2,0.8243,0.4672 (243),0.4868,236,0.4738,,,,
65,Mississippi,20-12,0.5608,18,12,0.6,0.5452 (80),0.5529,67,0.5478,,,,
66,St. John's,21-12,0.5606,17,11.2,0.6028,0.5491 (74),0.5414,69,0.5465,,,,
67,BYU,19-13,0.5602,15.8,11,0.5896,0.5674 (50),0.5163,63,0.5504,,,,
68,East Tenn St,22-9,0.5586,20.8,7.4,0.7376,0.4970 (168),0.5026,161,0.4989,,,,
69,Texas,16-16,0.5585,12,15.2,0.4412,0.6118 (5),0.5695,5,0.5977,,25,,
70,Lipscomb,23-7,0.557,22.6,6.6,0.774,0.4811 (212),0.4918,207,0.4847,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
71,Drake,22-9,0.5569,20.4,7.8,0.7234,0.5010 (157),0.502,153,0.5013,,,,
72,Ohio State,19-14,0.5568,16.2,13.6,0.5436,0.5675 (49),0.5486,47,0.5612,4,4,,
73,Wichita St,19-14,0.5553,16.2,12.8,0.5586,0.5608 (59),0.5408,60,0.5542,,,,
74,Bowling Green,20-12,0.5533,17.2,9.2,0.6515,0.5247 (112),0.5121,105,0.5205,,,,
75,Dayton,21-11,0.553,18.6,11.4,0.62,0.5372 (93),0.5177,92,0.5307,,,,
76,Montana,24-8,0.5515,23.6,6.8,0.7763,0.4778 (222),0.474,230,0.4765,,,,
77,San Diego,20-14,0.5513,17.6,12.4,0.5867,0.5499 (72),0.5189,80,0.5396,,,,
78,Xavier,18-15,0.5513,14.8,14.2,0.5103,0.5704 (46),0.554,40,0.5649,,,,
79,Georgia So,19-12,0.551,18.6,10.8,0.6327,0.5392 (88),0.493,102,0.5238,,,,
80,Colorado,21-12,0.5508,17.8,9.6,0.6496,0.5146 (123),0.5246,113,0.5179,,,,
,,,,RPI Data,,,,,SOS,,Polls,,,
Rank,School,W-L,RPI,W,L,Pct,OWP,OOWP,Rank,Rating,AP,USA,,
81,Saint Louis,23-12,0.5506,18.6,9.6,0.6596,0.5139 (126),0.5151,119,0.5143,,,,
82,Western Kentucky,20-14,0.5504,18.4,12.4,0.5974,0.5474 (77),0.5093,90,0.5347,,,,
83,Kent St,20-10,0.5503,18.4,8.8,0.6765,0.5061 (144),0.5127,135,0.5083,,,,
84,San Diego St,20-13,0.5495,16.8,11.4,0.5957,0.5482 (75),0.5058,91,0.5341,25,23,,
85,Liberty,25-6,0.5493,24.2,5.2,0.8231,0.4454 (288),0.4835,279,0.4581,,,,
86,Charleston,23-9,0.5473,21.4,7.8,0.7329,0.4775 (224),0.5011,203,0.4854,,,,
87,Colgate,23-10,0.547,21,6.8,0.7554,0.4704 (236),0.4917,228,0.4775,,,,
88,Providence,18-15,0.5468,15.6,15,0.5098,0.5656 (54),0.5462,49,0.5591,,,,
89,San Francisco,20-10,0.5458,17.2,9.2,0.6515,0.5082 (138),0.5153,130,0.5105,,,,
90,Bucknell,21-12,0.5453,19,10,0.6552,0.5173 (119),0.4913,134,0.5087,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
91,Georgetown,19-13,0.5452,15.8,12.6,0.5563,0.5434 (82),0.5375,75,0.5414,,,,
92,Southern Miss,17-11,0.545,16.6,9,0.6484,0.5115 (129),0.5088,129,0.5106,,,,
93,Nebraska,17-16,0.5446,13.4,14.4,0.482,0.5695 (47),0.5576,39,0.5655,,,,
94,Penn State,14-18,0.5441,12,16.8,0.4167,0.6080 (7),0.5436,10,0.5866,,,,
95,Northern Kentucky,24-8,0.5424,20.8,5.6,0.7879,0.4500 (279),0.4815,274,0.4605,,,,
96,Butler,16-16,0.542,12,14,0.4615,0.5799 (30),0.5464,32,0.5688,,,,
97,NC State,22-11,0.5416,17.6,10.2,0.6331,0.4929 (178),0.5474,126,0.5111,6,6,,
98,Indiana,17-15,0.541,13,13.4,0.4924,0.5595 (61),0.5526,52,0.5572,1,1,,
99,South Carolina,15-16,0.5395,12.6,15.2,0.4532,0.5756 (38),0.5535,35,0.5682,,,,
100,Marshall,19-14,0.5394,16.6,11.2,0.5971,0.5271 (108),0.5062,107,0.5202,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
101,Radford,19-11,0.5378,19.4,9.4,0.6736,0.5010 (156),0.4754,183,0.4925,,,,
102,Arkansas,17-15,0.5375,13.8,14.6,0.4859,0.5572 (64),0.5498,59,0.5547,,,,
103,Fresno St,22-9,0.537,20,9.4,0.6803,0.4793 (216),0.5092,192,0.4892,,,,
104,Louisiana Tech,18-13,0.5368,14.4,9.4,0.605,0.5262 (109),0.4897,120,0.5141,,,,
105,UCLA,17-16,0.5364,13,15.2,0.461,0.5799 (31),0.525,45,0.5616,13,14,,
106,Pennsylvania,18-12,0.536,18.4,11.6,0.6133,0.5068 (142),0.5172,131,0.5103,,,,
107,Tulsa,18-14,0.5355,13.6,12,0.5313,0.5393 (86),0.5321,85,0.5369,,,,
108,Lehigh,20-11,0.5349,19.2,9,0.6809,0.4826 (208),0.4933,200,0.4862,,,,
109,Oregon St,18-13,0.5337,16.4,13.4,0.5503,0.5284 (104),0.5278,95,0.5282,,,,
110,West Virginia,14-20,0.5337,10,18.4,0.3521,0.6115 (6),0.5598,6,0.5942,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
111,Rhode Island,18-15,0.5336,16.4,13.8,0.543,0.5393 (87),0.5126,93,0.5304,,,,
112,Princeton,14-12,0.5328,15.2,11.2,0.5758,0.5230 (114),0.5094,112,0.5185,,,,
113,Utah,17-14,0.5322,15.4,14,0.5238,0.5389 (91),0.5273,89,0.535,,,,
114,Stony Brook,23-8,0.5321,24.6,8.4,0.7455,0.4570 (267),0.4689,272,0.461,,,,
115,Central Michigan,20-11,0.532,18.8,10.6,0.6395,0.4895 (188),0.5097,169,0.4962,,,,
116,Texas St,22-9,0.5311,22.4,8.2,0.732,0.4497 (281),0.4932,259,0.4642,,,,
117,Austin Peay,20-11,0.5309,20,9,0.6897,0.4774 (225),0.479,227,0.4779,,,,
118,Arizona,17-15,0.5292,13.8,14.2,0.4929,0.5460 (79),0.5319,76,0.5413,12,12,,
119,Brown,17-11,0.5291,15.8,9,0.6371,0.4916 (180),0.4962,181,0.4931,,,,
120,Loyola Marymount,18-11,0.528,17.2,10.2,0.6277,0.4840 (203),0.5161,176,0.4947,,,,
