Rk,School,Conf,,AP Rank,W,L,Pts,Opp,MOV,,SOS,,OSRS,DSRS,SRS,ORtg,DRtg,NRtg
1,Gonzaga,WCC,,1,25,3,88.0,65.2,22.82,,4.06,,20.29,6.59,26.89,122.27,85.68,36.59
2,Arizona,Pac-12,,2,28,3,84.7,66.7,17.97,,6.57,,18.20,6.34,24.54,120.03,86.50,33.53
3,Baylor,Big 12,,3,26,5,76.8,63.4,13.45,,9.05,,12.08,10.43,22.50,119.26,86.80,32.46
4,Kentucky,SEC,,5,25,6,80.1,65.7,14.35,,8.05,,13.81,8.60,22.41,121.82,90.19,31.62
5,Houston,AAC,,18,26,5,75.9,58.9,16.94,,5.16,,8.54,13.55,22.09,118.33,85.40,32.94
6,Kansas,Big 12,,6,25,6,78.6,68.6,9.97,,11.29,,15.85,5.41,21.26,121.42,91.21,30.20
7,Auburn,SEC,,4,27,4,79.3,67.0,12.23,,8.78,,13.32,7.69,21.01,115.06,85.56,29.50
8,UCLA,Pac-12,,13,23,6,76.7,64.3,12.34,,8.09,,10.42,10.02,20.44,117.10,87.57,29.53
9,Tennessee,SEC,,9,23,7,73.6,63.3,10.30,,10.12,,8.44,11.98,20.42,113.87,84.13,29.74
10,Purdue,Big Ten,,9,25,6,80.7,68.8,11.97,,8.40,,14.42,5.94,20.37,123.80,94.21,29.59
11,Duke,ACC,,7,26,5,80.4,66.0,14.35,,5.87,,12.89,7.33,20.22,120.15,90.83,29.32
12,Villanova,Big East,,8,23,7,73.8,63.6,10.17,,9.75,,7.53,12.38,19.91,120.65,90.61,30.04
13,Texas Tech,Big 12,,14,23,8,72.4,60.7,11.74,,8.02,,6.76,13.00,19.76,112.92,83.98,28.94
14,Iowa,Big Ten,,24,22,9,83.3,71.0,12.23,,6.79,,16.44,2.57,19.02,121.45,94.72,26.73
15,Louisiana State,SEC,,,21,10,73.2,62.9,10.32,,8.55,,6.46,12.41,18.87,109.51,82.97,26.55
16,Illinois,Big Ten,,16,22,8,76.2,67.7,8.47,,9.68,,10.46,7.68,18.15,117.16,90.65,26.52
17,Texas,Big 12,,22,21,10,68.6,59.5,9.16,,8.46,,2.93,14.69,17.62,113.18,86.21,26.97
18,Connecticut,Big East,,20,22,8,76.1,65.7,10.47,,6.79,,9.17,8.09,17.26,115.75,91.33,24.42
19,Arkansas,SEC,,15,24,7,77.3,68.2,9.13,,7.78,,11.07,5.84,16.91,111.99,88.09,23.91
20,Alabama,SEC,,,19,12,80.1,76.2,3.87,,12.14,,15.45,0.56,16.01,118.04,95.20,22.84
21,Saint Mary's (CA),WCC,,17,25,6,69.8,59.8,9.97,,5.88,,1.22,13.73,14.95,110.05,87.78,22.27
22,San Francisco,WCC,,,24,9,77.1,67.0,10.03,,5.64,,8.14,6.81,14.95,111.80,90.67,21.13
23,Ohio State,Big Ten,,,19,10,74.0,68.4,5.62,,9.20,,8.78,6.04,14.82,118.34,96.34,22.00
24,Seton Hall,Big East,,,20,9,74.2,66.9,7.24,,8.75,,6.93,7.68,14.61,111.34,90.58,20.76
25,Memphis,AAC,,,19,9,76.1,68.5,7.61,,6.98,,9.74,4.85,14.58,111.36,90.75,20.61
26,Michigan,Big Ten,,,17,13,73.2,69.7,3.43,,11.04,,7.46,7.02,14.47,115.76,95.03,20.74
27,Loyola (IL),MVC,,,25,7,73.8,61.7,12.09,,3.13,,4.67,9.68,14.35,112.91,90.98,21.93
